순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,3,Y (Y),6,N,Y,0.6857,1.0000,3,O, 
1,3,Y (Y),6,N,Y,0.6857,1.0000,3,O, 
2,1,Y (Y),6,N,Y,0.8285,0.7368,4,O,* 
3,1,Y (Y),6,Y,Y,0.9285,1.0000,4,O, 
4,1,Y (Y),6,Y,Y,0.9214,0.7368,4,O, 
5,1,Y (Y),6,Y,Y,0.9000,0.9736,4,O, 
6,1,Y (Y),6,Y,Y,0.9000,0.9473,4,O, 
7,1,Y (Y),6,Y,Y,0.8928,0.9473,4,O, 
8,1,Y (Y),6,Y,Y,0.8857,0.7368,4,O, 
9,1,Y (Y),6,Y,Y,0.8642,1.0000,4,O, 
10,1,Y (Y),6,Y,Y,0.8571,1.0000,4,O, 
11,1,Y (Y),6,Y,Y,0.7928,0.5789,4,O, 
12,1,Y (Y),6,N,Y,0.9857,1.0000,4,O, 
13,1,Y (Y),6,N,Y,0.8142,1.0000,4,O, 
14,1,Y (Y),6,N,Y,0.7500,0.8684,4,O, 
15,1,Y (Y),6,N,Y,0.7071,1.0000,3,O, 
16,1,Y (Y),6,N,Y,0.6928,1.0000,3,O, 
17,1,Y (Y),6,N,Y,0.6928,1.0000,3,O, 
18,1,Y (Y),6,N,Y,0.6928,1.0000,3,O, 
19,1,Y (Y),6,N,Y,0.6857,1.0000,3,O, 
20,1,Y (Y),6,N,Y,0.6857,1.0000,3,O, 
21,1,Y (Y),6,N,Y,0.6857,0.9210,3,O, 
22,1,Y (Y),6,N,Y,0.6785,1.0000,3,O, 
23,1,Y (Y),6,N,Y,0.6714,1.0000,3,O, 
24,1,Y (Y),6,N,Y,0.6714,0.9736,3,O, 
25,1,Y (Y),6,N,Y,0.6642,1.0000,3,O, 
26,1,Y (Y),6,N,Y,0.6642,1.0000,3,O, 
27,1,Y (Y),6,N,Y,0.6642,0.9210,3,O, 
28,1,Y (Y),6,N,Y,0.6571,1.0000,3,O, 
29,1,Y (Y),6,N,Y,0.6571,1.0000,3,O, 
30,1,Y (Y),6,N,Y,0.6571,1.0000,3,O, 
31,1,Y (Y),6,N,Y,0.6428,1.0000,3,O, 
32,1,Y (Y),6,N,Y,0.6357,0.9210,3,O, 
33,1,Y (Y),6,N,Y,0.6357,0.8947,3,O, 
34,1,Y (Y),6,N,Y,0.6285,1.0000,3,O, 
35,1,Y (Y),6,N,Y,0.6214,1.0000,3,O, 
36,1,Y (Y),6,N,Y,0.6214,1.0000,3,O, 
37,1,Y (Y),6,N,Y,0.6142,0.9736,3,O, 
38,1,Y (Y),6,N,Y,0.6000,0.9473,3,O, 
39,1,Y (Y),6,N,Y,0.5928,0.8421,3,O, 
40,1,Y (Y),6,N,Y,0.5857,1.0000,3,O, 
41,1,Y (Y),6,N,Y,0.5321,1.0000,3,O, 
42,1,Y (Y),6,N,Y,0.5285,0.9473,3,O, 
43,1,Y (Y),6,N,Y,0.4321,0.9210,2,O, 
44,1,Y (Y),6,N,Y,0.4178,0.7105,2,O, 
45,1,Y (Y),6,N,Y,0.4035,0.8684,2,O, 
46,1,Y (Y),6,N,Y,0.4000,1.0000,2,O, 
47,1,Y (Y),6,N,Y,0.4000,1.0000,2,O, 
48,1,Y (Y),6,N,Y,0.4000,0.9473,2,O, 
49,1,Y (Y),6,N,Y,0.3892,0.9736,2,O, 
50,1,Y (Y),6,N,Y,0.3892,0.9736,2,O, 
51,1,Y (Y),6,N,Y,0.3892,0.9736,2,O, 
52,1,Y (Y),6,N,Y,0.3857,0.9210,2,O, 
53,1,Y (Y),6,N,Y,0.3857,0.8684,2,O, 
54,1,Y (Y),6,N,Y,0.3821,0.9736,2,O, 
55,1,Y (Y),6,N,Y,0.3821,0.9736,2,O, 
56,1,Y (Y),6,N,Y,0.3714,0.9473,2,O, 
57,1,Y (Y),6,N,Y,0.3678,1.0000,2,O, 
58,1,Y (Y),6,N,Y,0.3678,0.8157,2,O, 
59,1,Y (Y),6,N,Y,0.3607,1.0000,2,O, 
60,1,Y (Y),6,N,Y,0.3000,0.8421,2,O, 
61,1,Y (Y),6,N,Y,0.2714,0.7368,2,O, 
62,1,Y (Y),5,Y,Y,0.9285,1.0000,4,O, 
63,1,Y (Y),5,Y,Y,0.9142,0.9473,4,O, 
64,1,Y (Y),4,Y,Y,0.9357,0.6842,4,O, 
65,1,Y (Y),4,Y,Y,0.8714,1.0000,4,O, 
66,1,Y (Y),2,Y,Y,0.9642,0.1052,4,O, 
67,1,Y (Y),1,Y,Y,0.9785,0.8947,4,O, 
