순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),1,N,Y,0.2500,0.8750,2,O, 
1,36,N (N),1,N,Y,0.2500,0.8750,2,O, 
2,26,N (N),4,N,Y,0.8313,0.9444,4,O, 
3,19,Y (Y),6,N,Y,0.6746,0.8333,3,O, 
4,18,N (N),6,N,Y,0.5436,0.8611,3,O, 
5,18,N (N),6,N,Y,0.4185,0.9210,2,O, 
6,17,Y (Y),6,N,Y,0.2777,0.1944,2,O, 
7,17,N (N),6,N,Y,0.6507,0.8611,3,O, 
8,16,N (N),5,N,Y,0.6428,0.8333,3,O, 
9,15,N (N),6,N,Y,0.7698,0.8611,4,O, 
10,15,N (N),5,N,Y,0.8730,0.9473,4,O, 
11,14,Y (Y),6,N,Y,0.5317,0.8611,3,O, 
12,14,N (N),6,N,Y,0.7698,0.6666,4,O, 
13,14,N (N),6,N,Y,0.7111,0.8157,4,O, 
14,13,Y (Y),5,N,Y,0.5777,0.8684,3,O, 
15,13,N (N),6,N,Y,0.6666,0.8333,3,O, 
16,13,N (N),6,N,Y,0.5634,0.8611,3,O, 
17,12,Y (Y),6,N,Y,0.8444,0.8333,4,O, 
18,12,Y (Y),6,N,Y,0.8000,0.8888,4,O, 
19,12,Y (Y),6,N,Y,0.6507,1.0000,3,O, 
20,12,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
21,12,Y (Y),6,N,Y,0.2777,0.8888,2,O, 
22,12,N (N),6,N,Y,0.7142,1.0000,4,O, 
23,11,Y (Y),5,N,Y,0.9206,0.8333,4,O, 
24,11,N (N),6,N,Y,0.7936,0.6666,4,O, 
25,10,Y (Y),6,Y,Y,1.0000,1.0000,4,X, 
26,10,Y (Y),6,N,Y,0.6190,0.8888,3,O, 
27,10,Y (Y),6,N,Y,0.5476,0.9166,3,O, 
28,10,Y (Y),6,N,N,0.7380,1.0000,4,X, 
29,9,Y (Y),4,N,Y,0.7777,0.6666,4,X, 
30,9,N (N),6,N,Y,0.6370,0.7894,3,O, 
31,9,N (N),6,N,Y,0.3015,1.0000,2,O, 
32,9,N (N),5,Y,Y,0.9259,0.9473,4,X, 
33,8,Y (Y),6,N,Y,0.9365,0.8333,4,X, 
34,8,Y (Y),6,N,Y,0.8253,0.9444,4,X, 
35,8,N (N),6,N,Y,0.5079,0.7894,3,O, 
36,7,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
37,7,N (N),6,N,Y,0.7703,0.9473,4,X, 
38,7,N (N),6,N,Y,0.7629,0.7894,4,X, 
39,7,N (N),6,N,Y,0.4841,0.8055,3,O, 
40,6,Y (Y),6,N,Y,0.5476,1.0000,3,O, 
41,6,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
42,6,Y (Y),5,N,Y,0.4523,0.9722,3,O, 
43,6,N (N),6,N,Y,0.5634,0.9210,3,O, 
44,5,Y (Y),6,N,Y,0.2222,0.5555,2,O, 
45,5,N (N),6,N,Y,0.5000,0.9375,3,X, 
46,4,N (N),6,N,Y,0.5571,0.8684,3,X, 
47,3,Y (Y),6,N,Y,0.7857,1.0000,4,X, 
48,3,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
49,3,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
50,3,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
51,2,Y (Y),6,N,Y,0.4285,0.8333,3,X, 
52,2,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
53,2,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
54,2,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
55,2,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
56,2,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
57,2,Y (Y),6,N,Y,0.2619,1.0000,2,O, 
58,2,Y (Y),6,N,Y,0.2222,0.7222,2,O, 
59,2,Y (Y),6,N,N,0.4682,0.7222,3,X, 
60,2,N (N),6,N,Y,0.7037,0.6315,4,X, 
61,2,N (N),6,N,Y,0.5238,1.0000,3,X, 
62,1,Y (Y),6,N,Y,0.5555,1.0000,3,X, 
63,1,Y (Y),6,N,Y,0.5277,1.0000,3,X, 
64,1,Y (Y),6,N,Y,0.5158,0.9166,3,X, 
65,1,Y (Y),6,N,Y,0.3611,0.6944,2,O, 
66,1,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
67,1,Y (Y),6,N,Y,0.2341,0.9166,2,O, 
68,1,Y (Y),6,N,Y,0.2301,0.7222,2,O, 
69,1,N (N),6,N,Y,0.2619,0.8333,2,X, 
