순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.7851,0.9444,3,O, 
1,36,Y (Y),6,N,Y,0.7851,0.9444,3,O, 
2,36,Y (Y),5,N,Y,0.5000,0.8750,3,O, 
3,36,Y (Y),4,N,Y,0.6222,0.6666,3,X, 
4,36,Y (Y),2,N,Y,0.5000,0.8750,3,X, 
5,36,N (N),6,N,Y,0.7428,1.0000,4,O, 
6,31,Y (Y),6,N,Y,0.6388,1.0000,3,X, 
7,29,Y (Y),6,N,Y,0.8174,0.8333,4,O, 
8,28,Y (Y),6,N,Y,0.5198,0.9722,3,X, 
9,25,Y (Y),6,N,Y,0.6428,1.0000,3,X, 
10,23,Y (Y),6,N,Y,0.5238,1.0000,3,X, 
11,20,Y (Y),6,N,Y,0.5000,0.7500,3,X, 
12,20,Y (Y),6,N,Y,0.4629,1.0000,2,O, 
13,20,Y (Y),4,Y,Y,0.8968,1.0000,4,O, 
14,19,Y (Y),6,N,Y,1.0000,1.0000,4,X, 
15,17,Y (Y),6,N,Y,0.8095,0.6666,4,X, 
16,16,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
17,15,Y (Y),6,N,Y,0.4603,1.0000,2,O, 
18,15,N (N),6,N,Y,0.4404,1.0000,2,O, 
19,14,Y (Y),5,N,Y,0.2658,0.9166,2,O, 
20,14,N (N),6,N,Y,0.4444,0.8684,2,O, 
21,13,Y (Y),6,N,Y,0.4007,0.9722,2,O, 
22,12,Y (Y),6,N,Y,0.4087,0.9166,2,O, 
23,12,Y (Y),5,N,Y,0.2857,1.0000,2,O, 
24,11,Y (Y),6,N,Y,0.4523,1.0000,2,O, 
25,11,Y (Y),6,N,Y,0.4523,0.6666,2,O, 
26,11,Y (Y),6,N,Y,0.4047,0.8333,2,O, 
27,11,Y (Y),6,N,Y,0.3333,1.0000,2,O, 
28,11,Y (Y),5,N,Y,0.2777,0.8333,2,O, 
29,10,Y (Y),6,N,Y,0.4523,1.0000,2,O, 
30,10,Y (Y),6,N,Y,0.4404,0.9166,2,O, 
31,10,Y (Y),5,N,Y,0.2896,1.0000,2,O, 
32,9,Y (Y),6,N,Y,0.4365,1.0000,2,O, 
33,9,Y (Y),6,N,Y,0.4087,0.8611,2,O, 
34,8,N (N),6,N,Y,0.5214,0.8157,3,X, 
35,5,Y (Y),6,N,Y,0.6740,1.0000,3,X, 
36,1,Y (Y),6,N,Y,0.6547,0.9166,3,X, 
