순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
1,36,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
2,36,Y (Y),4,Y,Y,0.9523,0.5000,4,O, 
3,36,Y (Y),3,Y,Y,1.0000,1.0000,4,O, 
4,36,Y (Y),3,Y,Y,0.9370,0.5000,4,O, 
5,30,Y (Y),5,N,Y,0.5357,0.8888,3,O, 
6,27,Y (Y),6,N,Y,0.7460,1.0000,4,O, 
7,26,Y (Y),6,N,Y,0.6269,0.7222,3,O, 
8,25,Y (Y),6,N,Y,0.8829,0.8888,4,O, 
9,24,Y (Y),5,N,Y,0.8333,1.0000,4,O, 
10,22,Y (Y),5,N,Y,0.5476,0.8611,3,O, 
11,20,N (N),5,N,Y,0.4928,0.9473,3,O, 
12,19,Y (Y),6,N,Y,0.8148,1.0000,4,O, 
13,18,Y (Y),6,N,Y,0.9742,1.0000,4,O, 
14,18,Y (Y),6,N,Y,0.8740,1.0000,4,O, 
15,17,Y (Y),6,Y,Y,0.9444,1.0000,4,O, 
16,17,Y (Y),5,N,Y,0.5436,0.8333,3,O, 
17,16,Y (Y),6,N,Y,0.8814,0.8333,4,O, 
18,15,Y (Y),5,N,Y,0.9629,1.0000,4,O, 
19,14,Y (Y),3,N,Y,0.8962,1.0000,4,O, 
20,13,Y (Y),6,N,Y,0.7698,1.0000,4,O, 
21,11,Y (Y),6,N,Y,0.9126,0.8888,4,O, 
22,10,Y (Y),6,N,Y,0.8592,0.8333,4,O, 
23,3,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
24,3,Y (Y),6,N,Y,0.7936,1.0000,4,X, 
25,3,Y (Y),6,N,Y,0.7380,1.0000,4,X, 
26,1,Y (Y),6,Y,Y,1.0000,0.9166,4,X, 
27,1,Y (Y),6,N,Y,0.7259,0.9444,4,X, 
28,1,Y (Y),4,Y,Y,1.0000,0.8333,4,X, 
29,1,N (N),6,N,Y,1.0000,1.0000,4,X, 
