순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (Y),6,N,Y,0.8650,1.0000,4,O, 
1,18,Y (Y),6,N,Y,0.8650,1.0000,4,O, 
2,18,Y (Y),6,N,Y,0.8571,0.9166,4,O, 
3,18,Y (Y),6,N,Y,0.6428,0.8611,3,O, 
4,18,Y (Y),6,N,Y,0.4920,0.8611,3,O, 
5,18,Y (Y),6,N,Y,0.4087,1.0000,2,O, 
6,18,Y (Y),6,N,Y,0.3730,1.0000,2,O, 
7,18,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
8,18,Y (N),4,Y,Y,0.9703,1.0000,4,O, 
9,18,Y (Y),2,Y,Y,1.0000,1.0000,4,O, 
10,18,N (N),6,Y,Y,0.9880,0.8333,4,O, 
11,17,Y (Y),6,N,Y,0.8095,0.6666,4,O, 
12,17,Y (Y),5,Y,Y,0.9682,0.8333,4,O, 
13,15,Y (Y),5,N,Y,1.0000,1.0000,4,O, 
14,14,Y (Y),6,N,Y,0.4404,0.8611,2,O, 
15,11,Y (Y),6,N,Y,0.6349,1.0000,3,O, 
16,11,Y (Y),6,N,Y,0.6349,1.0000,3,O, 
17,11,Y (Y),6,N,Y,0.6190,1.0000,3,O, 
18,11,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
19,11,Y (Y),6,N,Y,0.2222,1.0000,2,O, 
20,10,Y (Y),6,N,Y,0.6269,0.9722,3,O, 
21,9,Y (Y),6,N,Y,0.7301,0.9444,3,X, 
22,9,Y (Y),6,N,Y,0.6984,0.9444,3,X, 
23,8,Y (Y),6,N,Y,0.6190,1.0000,3,X, 
24,6,Y (Y),6,N,Y,0.7698,1.0000,3,X, 
25,6,Y (Y),5,N,Y,0.6507,1.0000,3,X, 
26,3,Y (Y),6,N,Y,0.3015,1.0000,2,X, 
27,1,Y (Y),6,Y,Y,0.9900,0.8333,4,X, 
