순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),5,Y,Y,0.9007,0.8888,4,O, 
1,36,Y (Y),5,Y,Y,0.9007,0.8888,4,O, 
2,36,Y (Y),3,Y,N,1.0000,0.7777,4,O, 
3,30,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
4,30,Y (Y),5,Y,N,0.9444,0.9722,4,O, 
5,26,Y (Y),6,Y,Y,0.8492,0.8333,4,O, 
6,25,Y (Y),6,N,Y,0.6746,0.8888,3,O, 
7,24,Y (Y),6,N,Y,0.5277,0.9722,3,O, 
8,24,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
9,24,Y (Y),5,N,Y,0.6984,0.9722,3,O, 
10,23,Y (Y),6,N,Y,0.9682,1.0000,4,O, 
11,23,Y (Y),6,N,Y,0.6666,0.9444,3,O, 
12,22,Y (Y),6,N,Y,0.4484,0.8611,2,O, 
13,21,N (N),6,N,Y,1.0000,1.0000,4,O, 
14,20,Y (Y),6,N,Y,0.7063,1.0000,3,O, 
15,20,Y (Y),6,N,Y,0.6349,1.0000,3,O, 
16,20,Y (Y),6,N,Y,0.5992,0.9166,3,O, 
17,19,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
18,18,Y (Y),6,N,Y,0.4007,0.8611,2,O, 
19,18,Y (Y),6,N,Y,0.3928,1.0000,2,O, 
20,18,Y (Y),6,N,Y,0.2738,1.0000,2,O, 
21,17,Y (Y),6,N,Y,0.6825,0.8333,4,X, 
22,17,Y (Y),6,N,Y,0.5555,0.8611,3,O, 
23,17,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
24,17,Y (Y),6,N,Y,0.2063,1.0000,2,O, 
25,17,N (N),5,N,Y,0.7619,0.8333,4,X, 
26,16,Y (Y),6,N,Y,0.7777,1.0000,4,X, 
27,16,Y (Y),6,N,Y,0.4007,0.8611,2,O, 
28,16,Y (Y),6,N,Y,0.3968,0.8333,2,O, 
29,16,Y (Y),5,N,Y,0.3769,0.6944,2,X, 
30,15,N (N),6,N,Y,0.7500,0.8750,4,X, 
31,14,Y (Y),6,N,Y,0.4087,1.0000,2,X, 
32,13,Y (Y),6,Y,Y,0.8869,0.9444,4,X, 
33,13,Y (Y),6,N,Y,0.7460,1.0000,3,X, 
34,13,Y (Y),6,N,Y,0.7142,0.8888,3,X, 
35,13,Y (Y),5,N,Y,0.3730,0.9444,2,X, 
36,12,Y (Y),6,N,Y,0.5634,0.8611,3,X, 
37,10,Y (Y),6,N,Y,0.7023,1.0000,3,X, 
38,10,Y (Y),5,Y,Y,0.8809,0.5555,4,X, 
39,9,Y (Y),6,N,Y,0.5873,1.0000,3,X, 
40,7,Y (Y),6,N,Y,0.4246,0.8055,2,X, 
41,5,Y (Y),6,N,Y,0.8809,0.9444,4,X, 
