순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,14,Y (Y),5,Y,Y,0.8809,0.8333,4,O, 
1,14,Y (Y),5,Y,Y,0.8809,0.8333,4,O, 
2,13,Y (Y),5,N,Y,0.8095,1.0000,4,O, 
3,10,Y (Y),6,N,Y,0.2698,0.5000,3,O, 
4,10,Y (Y),4,N,Y,0.8412,0.8611,4,O, 
5,10,N (N),1,N,N,0.9939,0.9473,5,O, 
6,7,Y (Y),6,N,Y,0.7785,0.9473,4,O, 
7,6,Y (Y),6,N,Y,0.8650,1.0000,4,O, 
8,6,Y (Y),6,N,Y,0.3650,0.8611,2,O, 
9,6,N (N),6,Y,Y,1.0000,0.3157,5,O, 
10,6,N (N),6,N,Y,0.6957,0.8421,4,O, 
11,5,N (N),6,N,Y,0.4761,0.3333,3,O, 
12,4,Y (Y),6,N,Y,0.5079,0.7500,3,O, 
13,3,Y (Y),6,N,Y,0.5079,0.8611,3,O, 
14,3,Y (Y),5,N,Y,0.8174,1.0000,4,O, 
15,3,Y (Y),5,N,Y,0.4642,0.5277,2,O, 
16,3,N (N),6,N,Y,0.9698,0.9473,5,X, 
17,2,Y (Y),6,N,Y,0.5634,0.7222,3,O, 
18,2,Y (Y),6,N,Y,0.5476,0.8333,3,O, 
19,2,Y (Y),6,N,Y,0.4880,0.8333,3,O, 
20,2,N (N),6,N,Y,0.7896,1.0000,4,X, 
21,2,N (N),6,N,Y,0.6385,0.9473,4,X, 
22,1,Y (Y),6,N,Y,0.5814,1.0000,3,O, 
23,1,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
24,1,Y (Y),6,N,Y,0.5714,0.8055,3,O, 
25,1,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
26,1,Y (Y),6,N,Y,0.2103,0.3611,2,O, 
27,1,N (N),6,N,Y,0.8915,0.9473,5,X, 
28,1,N (N),6,N,Y,0.8554,0.9473,5,X, 
29,1,N (N),6,N,Y,0.4206,1.0000,2,X, 
