순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,8,Y (Y),6,N,Y,0.3134,1.0000,2,O, 
1,8,Y (Y),6,N,Y,0.3134,1.0000,2,O, 
2,8,N (N),6,N,Y,0.5000,0.8684,2,O, 
3,5,Y (Y),6,N,Y,0.3571,1.0000,2,O, 
4,5,Y (Y),6,N,Y,0.2738,1.0000,2,O, 
5,3,Y (Y),6,N,Y,0.6349,0.8888,4,O, 
6,3,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
7,3,Y (Y),6,N,Y,0.2896,0.9722,2,O, 
8,3,Y (Y),6,N,Y,0.2738,0.9722,2,O, 
9,2,Y (Y),6,N,Y,0.3214,1.0000,2,O, 
10,1,Y (Y),6,N,Y,0.7698,0.8888,4,O, 
11,1,Y (Y),6,N,Y,0.7460,1.0000,4,O, 
12,1,Y (Y),6,N,Y,0.6825,1.0000,3,O, 
13,1,Y (Y),6,N,Y,0.5436,1.0000,3,O, 
14,1,Y (Y),6,N,Y,0.5317,0.9444,3,O, 
15,1,Y (Y),6,N,Y,0.5000,1.0000,3,O, 
16,1,Y (Y),6,N,Y,0.3214,1.0000,2,O, 
17,1,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
