순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,N (N),6,N,Y,0.6250,0.6578,3,O, 
1,15,N (N),6,N,Y,0.6250,0.6578,3,O, 
2,14,Y (Y),5,Y,Y,0.8730,1.0000,4,O, 
3,6,Y (Y),6,N,Y,0.6666,0.8611,3,O, 
4,6,Y (Y),6,N,Y,0.6388,0.8055,3,O, 
5,6,Y (Y),6,N,Y,0.6190,0.8611,3,O, 
6,6,Y (Y),6,N,Y,0.6111,0.8055,3,O, 
7,6,Y (Y),6,N,Y,0.5992,0.8055,3,O, 
8,6,Y (Y),6,N,Y,0.5992,0.7500,3,O, 
9,6,Y (Y),6,N,Y,0.5714,0.8611,3,O, 
10,5,Y (Y),6,N,Y,0.7341,0.7777,4,O, 
11,5,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
12,5,N (N),6,Y,Y,0.9722,0.8333,4,O, 
13,3,Y (Y),6,N,Y,0.8095,0.9722,4,O, 
14,3,Y (Y),6,N,Y,0.6269,0.8888,3,O, 
15,3,Y (Y),6,N,Y,0.6269,0.6111,3,O, 
16,2,Y (Y),6,N,Y,0.6388,0.9722,3,O, 
17,2,Y (Y),6,N,Y,0.6349,0.9722,3,O, 
18,2,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
19,2,Y (Y),6,N,Y,0.5396,1.0000,3,O, 
20,2,Y (Y),6,N,Y,0.4126,0.8611,2,O, 
21,2,Y (Y),6,N,Y,0.4126,0.8611,2,O, 
22,2,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
23,2,Y (Y),6,N,Y,0.3849,0.8055,2,O, 
24,1,Y (N),6,N,Y,0.8134,0.8333,4,O, 
25,1,Y (N),6,N,Y,0.7936,0.9722,4,O, 
26,1,Y (Y),6,N,Y,0.6190,0.9444,3,O, 
27,1,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
28,1,Y (Y),6,N,Y,0.4166,0.9166,2,O, 
29,1,N (N),6,N,Y,0.8888,0.8888,4,O, 
