순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,23,Y (Y),6,N,Y,0.2380,0.8611,2,O, 
1,23,Y (Y),6,N,Y,0.2380,0.8611,2,O, 
2,13,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
3,9,Y (Y),6,N,Y,0.7222,0.9444,4,O, 
4,8,Y (Y),6,N,Y,0.2619,1.0000,2,O, 
5,7,Y (Y),6,N,Y,0.2698,0.9444,2,O, 
6,6,Y (Y),6,N,Y,0.2619,0.8888,2,O, 
7,5,Y (Y),5,N,Y,0.5198,1.0000,3,O, 
8,4,Y (Y),6,N,Y,0.2698,0.9444,2,O, 
9,3,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
10,3,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
11,3,Y (Y),6,N,Y,0.2658,0.9166,2,O, 
12,3,Y (Y),5,N,Y,0.2261,0.5555,2,O, 
13,2,Y (Y),6,N,Y,0.4246,1.0000,2,O, 
14,2,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
15,2,Y (Y),6,N,Y,0.2539,0.8333,2,O, 
16,1,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
17,1,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
18,1,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
19,1,Y (Y),5,N,Y,0.2698,0.9444,2,O, 
20,1,Y (Y),5,N,Y,0.2698,0.9444,2,O, 
