순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,27,Y (Y),6,N,Y,0.7162,0.9444,3,O, 
1,27,Y (Y),6,N,Y,0.7162,0.9444,3,O, 
2,26,Y (Y),6,N,Y,0.5615,0.9166,3,O, 
3,24,Y (Y),5,Y,Y,0.8571,1.0000,4,O, 
4,21,Y (Y),6,N,Y,0.7380,1.0000,3,O, 
5,20,Y (Y),6,N,Y,0.9126,0.8333,4,O, 
6,20,Y (Y),6,N,Y,0.4126,0.8333,2,O, 
7,20,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
8,20,Y (Y),5,N,Y,0.3849,0.7500,2,O, 
9,19,Y (Y),6,N,Y,0.7619,0.8333,4,O, 
10,19,Y (Y),6,N,Y,0.4444,1.0000,2,O, 
11,19,Y (Y),5,N,Y,0.2619,0.8888,2,O, 
12,15,Y (Y),6,N,Y,0.9960,1.0000,4,O, 
13,15,Y (Y),6,N,Y,0.6468,1.0000,3,O, 
14,15,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
15,15,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
16,15,Y (Y),5,N,Y,0.3769,0.9722,2,O, 
17,14,Y (Y),6,N,Y,0.5515,1.0000,3,O, 
18,14,Y (Y),5,N,Y,0.1785,0.5000,2,O, 
19,14,Y (Y),4,N,Y,0.4365,0.8888,2,O, 
20,13,Y (Y),6,N,Y,0.5238,0.8611,3,O, 
21,13,Y (Y),6,N,Y,0.4325,0.9166,2,O, 
22,10,Y (Y),6,N,Y,0.6269,0.7222,3,O, 
23,10,Y (Y),6,N,Y,0.4166,0.9166,2,O, 
24,8,Y (Y),6,N,Y,0.5158,1.0000,3,X, 
25,7,Y (Y),6,N,Y,0.7341,0.8888,4,X, 
26,6,Y (Y),6,N,Y,0.6428,0.8333,3,X, 
27,6,Y (Y),6,N,Y,0.6388,0.6666,3,X, 
28,5,Y (Y),6,N,Y,0.6190,0.8333,3,X, 
29,3,Y (Y),6,N,Y,1.0000,0.8333,4,X, 
30,3,Y (Y),5,N,Y,0.5912,0.8888,3,X, 
31,1,Y (Y),6,Y,Y,0.9047,0.3333,4,X, 
32,1,Y (Y),6,N,Y,0.5873,0.6666,3,X, 
33,1,Y (Y),6,N,Y,0.2222,0.5000,2,X, 
