순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,21,Y (Y),5,Y,Y,0.8730,0.8333,4,O, 
1,21,Y (Y),5,Y,Y,0.8730,0.8333,4,O, 
2,20,Y (Y),6,N,Y,0.3134,0.6944,2,O, 
3,19,Y (Y),4,N,Y,0.8809,1.0000,4,O, 
4,18,Y (Y),5,N,Y,0.5555,1.0000,3,O, 
5,18,N (N),5,N,Y,0.5000,0.8750,3,O, 
6,17,Y (Y),5,N,Y,0.5000,0.8750,3,O, 
7,17,Y (Y),5,N,Y,0.5000,0.8750,3,O, 
8,15,Y (Y),5,N,Y,0.7698,0.8333,4,O, 
9,15,Y (Y),5,N,Y,0.7500,0.8750,4,O, 
10,12,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
11,11,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
12,10,Y (Y),6,N,Y,0.6190,0.6666,3,O, 
13,10,Y (Y),5,N,Y,0.2500,0.8750,2,O, 
14,10,Y (Y),4,N,Y,0.7500,0.8750,4,O, 
15,9,Y (Y),6,N,Y,0.2777,0.9444,2,X, 
16,9,Y (Y),5,N,Y,0.5595,0.8611,3,X, 
17,7,Y (Y),6,Y,Y,1.0000,0.8333,4,X, 
18,7,Y (Y),6,N,Y,0.8174,1.0000,4,X, 
19,6,Y (Y),6,N,Y,0.2936,0.8888,2,X, 
20,6,Y (Y),5,N,Y,0.4206,1.0000,2,X, 
21,5,N (N),5,N,Y,0.7500,0.9375,4,X, 
22,3,Y (Y),6,N,Y,0.6904,0.9166,3,X, 
23,2,Y (Y),6,N,Y,0.2460,0.9444,2,X, 
0,12,Y (Y),4,N,Y,0.5000,0.8750,3,O,* 
0,12,Y (Y),4,N,Y,0.5000,0.8750,3,O,* 
0,12,N (N),5,N,Y,0.5000,0.9375,3,O,* 
0,12,Y (Y),3,N,Y,0.5000,0.8750,3,O,* 
