순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,30,Y (Y),3,Y,Y,1.0000,0.8333,4,O, 
1,30,Y (Y),3,Y,Y,1.0000,0.8333,4,O, 
2,22,Y (Y),6,N,Y,0.6746,0.8333,3,O, 
3,18,Y (Y),3,N,Y,0.8730,1.0000,4,O, 
4,15,Y (Y),5,N,Y,0.4404,0.8611,2,O, 
5,14,Y (Y),5,N,Y,0.7500,1.0000,3,O, 
6,13,Y (Y),6,N,Y,0.6428,0.8333,3,O, 
7,12,Y (Y),5,N,Y,0.7063,0.8333,3,O, 
8,10,Y (Y),6,N,Y,0.9464,0.8333,4,O, 
9,10,Y (Y),6,N,Y,0.5793,1.0000,3,O, 
10,10,Y (Y),6,N,Y,0.5595,1.0000,3,O, 
11,8,Y (Y),6,N,Y,0.2500,0.9166,2,O, 
12,6,Y (Y),6,N,Y,0.5873,0.9166,3,O, 
13,5,Y (Y),6,N,Y,0.5357,1.0000,3,O, 
14,2,Y (Y),6,N,Y,0.4087,0.8611,2,O, 
