순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (Y),6,N,Y,0.4404,0.9736,2,O, 
1,10,Y (Y),6,N,Y,0.4404,0.9736,2,O, 
2,10,Y (Y),6,N,Y,0.1349,0.5263,2,O, 
3,8,Y (Y),6,N,Y,0.2936,0.8947,2,O, 
4,7,Y (Y),6,N,Y,0.4484,0.8684,2,O, 
5,6,Y (Y),6,N,Y,0.7539,0.9473,3,O, 
6,6,Y (Y),6,N,Y,0.5555,0.8157,3,O, 
7,5,Y (Y),6,N,Y,0.7777,0.9473,4,O, 
8,5,Y (Y),6,N,Y,0.4404,0.9736,2,O, 
9,4,Y (Y),6,N,Y,0.5357,1.0000,2,O, 
10,3,Y (Y),6,N,Y,0.7619,0.9736,3,O, 
11,2,Y (Y),6,N,Y,0.7341,1.0000,3,O, 
12,2,Y (Y),6,N,Y,0.6031,0.8157,3,O, 
13,2,Y (Y),6,N,Y,0.5515,0.7894,3,O, 
14,2,Y (Y),6,N,Y,0.4682,1.0000,2,O, 
15,2,Y (Y),6,N,Y,0.4603,0.9473,2,O, 
16,1,Y (Y),6,N,Y,0.7301,1.0000,3,O, 
17,1,Y (Y),6,N,Y,0.6666,1.0000,3,O, 
18,1,Y (Y),6,N,Y,0.5555,0.6315,3,O, 
19,1,Y (Y),6,N,Y,0.4642,0.9736,2,O, 
