순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,Y (Y),2,Y,Y,0.9603,0.5000,4,O, 
1,35,Y (Y),2,Y,Y,0.9603,0.5000,4,O, 
2,31,Y (Y),6,N,Y,0.8214,1.0000,3,O, 
3,23,Y (Y),3,N,Y,0.8809,1.0000,4,O, 
4,20,Y (Y),6,N,Y,0.6785,1.0000,3,O, 
5,18,Y (Y),3,Y,Y,0.9206,1.0000,4,O, 
6,17,Y (Y),6,N,Y,0.6269,0.8333,4,O, 
7,15,Y (Y),4,N,Y,0.7142,0.8333,4,O, 
8,14,Y (Y),5,N,Y,0.6904,0.6666,4,O, 
9,10,Y (Y),6,N,Y,0.8412,1.0000,4,O, 
10,10,Y (Y),6,N,Y,0.7380,0.8333,4,O, 
11,10,Y (Y),5,N,Y,0.8333,1.0000,4,X, 
12,8,Y (Y),6,N,Y,0.8571,0.8333,4,X, 
13,7,Y (Y),6,N,Y,0.6984,0.8888,3,X, 
14,5,Y (Y),6,N,Y,0.6349,0.9444,3,X, 
15,2,Y (Y),6,N,Y,0.6626,1.0000,3,X, 
16,1,Y (Y),6,N,Y,0.8571,0.8333,4,X, 
17,1,Y (Y),6,N,Y,0.7777,1.0000,4,X, 
18,1,Y (Y),4,N,Y,0.7619,0.8333,4,X, 
