순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,19,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
1,19,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
2,15,Y (Y),5,N,Y,0.3928,0.8611,2,O, 
3,12,Y (Y),6,N,Y,0.6190,0.8888,3,O, 
4,11,Y (Y),6,N,Y,0.8095,0.8333,4,O, 
5,11,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
6,7,Y (Y),6,N,Y,0.5158,0.8611,3,O, 
7,7,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
8,6,Y (Y),6,N,Y,0.5873,0.8611,3,O, 
9,6,Y (Y),6,N,Y,0.3888,1.0000,2,O, 
10,5,Y (Y),6,N,Y,0.3333,0.8888,2,O, 
11,5,Y (Y),4,N,Y,0.5158,1.0000,3,O, 
12,4,Y (Y),6,N,Y,0.3095,0.8888,2,O, 
13,4,Y (Y),5,N,Y,0.2976,0.5277,2,O, 
14,3,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
15,3,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
16,3,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
17,2,Y (Y),6,N,Y,0.3650,1.0000,2,O, 
18,2,Y (Y),6,N,Y,0.2857,0.8888,2,O, 
19,2,Y (Y),5,N,Y,0.8412,1.0000,4,O, 
20,1,Y (Y),6,Y,Y,0.9206,1.0000,4,O, 
21,1,Y (Y),6,Y,Y,0.8809,0.8333,4,O, 
22,1,Y (Y),6,N,Y,0.5873,1.0000,3,O, 
23,1,Y (Y),6,N,Y,0.4960,1.0000,3,O, 
24,1,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
25,1,Y (Y),6,N,Y,0.2698,0.9444,2,O, 
26,1,Y (Y),5,N,Y,0.3015,1.0000,2,O, 
