순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,23,Y (Y),6,N,Y,0.8412,0.8333,4,O, 
1,23,Y (Y),6,N,Y,0.8412,0.8333,4,O, 
2,19,Y (Y),5,Y,Y,0.9047,1.0000,4,O, 
3,17,Y (Y),5,N,Y,0.5039,0.8333,3,O, 
4,14,Y (Y),6,N,Y,0.8888,1.0000,4,O, 
5,3,Y (Y),6,N,Y,0.6626,1.0000,3,O, 
6,3,Y (Y),6,N,Y,0.5912,0.9444,3,O, 
7,2,Y (Y),6,N,Y,0.6666,1.0000,3,O, 
8,1,Y (Y),6,Y,Y,1.0000,0.6315,4,O, 
9,1,Y (Y),6,Y,Y,0.9206,0.8611,4,O, 
10,1,Y (Y),6,N,Y,0.8809,0.8611,4,O, 
11,1,Y (Y),6,N,Y,0.8412,0.8888,4,O, 
12,1,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
13,1,Y (Y),6,N,Y,0.6904,0.8888,4,O, 
14,1,Y (Y),6,N,Y,0.4166,1.0000,2,O, 
15,1,Y (Y),5,N,Y,0.9285,1.0000,4,O, 
16,1,Y (Y),5,N,Y,0.7063,0.9166,3,O, 
