순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,14,Y (Y),5,N,Y,0.4722,0.8684,3,O, 
1,14,Y (Y),5,N,Y,0.4722,0.8684,3,O, 
2,13,Y (Y),6,N,Y,0.3809,0.7631,2,O, 
3,10,Y (Y),6,N,Y,0.3452,0.6578,2,O, 
4,10,Y (Y),5,N,Y,0.3095,0.8421,2,O, 
5,10,Y (Y),4,Y,N,1.0000,0.9473,4,O, 
6,5,Y (Y),6,N,Y,0.2936,0.8421,2,O, 
7,4,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
8,4,Y (Y),6,N,N,0.5000,0.8684,3,O, 
9,4,Y (Y),5,N,Y,0.4246,0.8684,2,O, 
10,3,Y (Y),6,N,Y,0.3452,0.8684,2,O, 
11,3,Y (Y),6,N,Y,0.3015,0.9473,2,O, 
12,3,Y (Y),6,N,Y,0.2539,0.7894,2,O, 
13,2,Y (Y),6,N,Y,0.4007,0.9210,2,O, 
14,1,Y (Y),6,N,Y,0.5000,0.8289,3,O, 
15,1,Y (Y),6,N,Y,0.4246,0.9736,2,O, 
16,1,N (N),5,N,Y,0.3095,1.0000,2,O, 
