순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,30,Y (Y),6,N,Y,0.3055,1.0000,2,O, 
1,30,Y (Y),6,N,Y,0.3055,1.0000,2,O, 
2,30,Y (Y),5,N,Y,0.7698,1.0000,3,O, 
3,28,Y (Y),5,N,Y,0.2460,0.7105,2,O, 
4,27,Y (Y),6,N,Y,0.7539,1.0000,3,O, 
5,24,Y (Y),6,N,Y,0.5833,0.8421,3,O, 
6,23,Y (Y),6,N,N,0.5793,0.8684,3,O, 
7,22,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
8,21,Y (Y),6,N,Y,0.3412,1.0000,2,O, 
9,20,Y (Y),6,N,Y,0.3095,0.8421,2,O, 
10,20,Y (Y),5,N,Y,0.5555,0.9210,3,O, 
11,19,Y (Y),6,N,Y,0.5555,0.8684,3,O, 
12,19,Y (Y),6,N,Y,0.3809,1.0000,2,O, 
13,18,Y (Y),6,N,Y,0.2896,0.9473,2,O, 
14,16,Y (Y),6,N,Y,0.4047,1.0000,2,O, 
15,15,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
16,13,Y (Y),6,N,Y,0.4603,1.0000,2,O, 
17,13,Y (Y),6,N,Y,0.3293,1.0000,2,O, 
18,13,Y (Y),6,N,Y,0.2936,0.8947,2,O, 
19,12,Y (Y),6,N,Y,0.5873,0.9736,3,O, 
20,11,Y (Y),6,N,Y,0.3373,1.0000,2,O, 
21,11,Y (Y),6,N,Y,0.2301,0.8157,2,O, 
22,10,Y (Y),6,N,Y,0.7539,0.8157,3,O, 
23,10,Y (Y),6,N,Y,0.6984,1.0000,3,O, 
24,10,Y (Y),6,N,Y,0.3412,1.0000,2,O, 
25,9,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
26,9,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
27,9,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
28,9,Y (Y),5,N,Y,0.8650,1.0000,4,O, 
29,9,Y (Y),5,N,Y,0.5515,1.0000,3,O, 
30,7,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
31,6,Y (Y),6,N,Y,0.8571,0.9736,4,O, 
32,6,Y (Y),6,N,Y,0.3571,1.0000,2,O, 
33,6,Y (Y),6,N,Y,0.3492,1.0000,2,O, 
34,6,Y (Y),6,N,Y,0.3095,0.8421,2,O, 
35,5,Y (Y),6,N,Y,0.8333,0.9736,4,O, 
36,5,Y (Y),6,N,Y,0.5674,1.0000,3,O, 
37,5,Y (Y),6,N,Y,0.5515,0.9736,3,O, 
38,5,Y (Y),6,N,Y,0.5436,1.0000,3,O, 
39,5,Y (Y),6,N,Y,0.3888,1.0000,2,O, 
40,5,Y (Y),6,N,Y,0.2936,0.8947,2,O, 
41,5,Y (Y),5,N,Y,0.3095,1.0000,2,O, 
42,4,Y (Y),6,N,Y,0.3809,0.9736,2,O, 
43,4,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
44,4,Y (Y),6,N,Y,0.2817,1.0000,2,O, 
45,4,Y (Y),6,N,N,0.6388,0.9473,3,O, 
46,3,Y (Y),6,N,Y,0.7539,1.0000,3,X, 
47,3,Y (Y),6,N,Y,0.6031,0.8684,3,X, 
48,3,Y (Y),6,N,Y,0.5952,0.9736,3,X, 
49,3,Y (Y),6,N,Y,0.3253,1.0000,2,X, 
50,3,Y (Y),6,N,Y,0.3134,1.0000,2,X, 
51,3,Y (Y),6,N,Y,0.3095,1.0000,2,X, 
52,3,Y (Y),5,N,Y,0.5753,0.9736,3,X, 
53,2,Y (Y),6,Y,Y,0.9206,0.7894,4,X, 
54,2,Y (Y),6,N,Y,0.3095,1.0000,2,X, 
55,1,Y (Y),6,N,Y,0.9126,1.0000,4,X, 
56,1,Y (Y),6,N,Y,0.8650,0.9736,4,X, 
57,1,Y (Y),6,N,Y,0.5992,0.9736,3,X, 
58,1,Y (Y),6,N,Y,0.2817,0.8947,2,X, 
59,1,Y (Y),5,N,Y,0.2142,0.6842,2,X, 
