순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.4126,0.8611,2,O, 
1,36,Y (Y),6,N,Y,0.4126,0.8611,2,O, 
2,35,Y (Y),5,N,Y,0.7000,0.6578,4,O, 
3,33,Y (Y),6,N,Y,0.7063,1.0000,3,O, 
4,27,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
5,23,Y (Y),6,N,Y,0.5396,0.8611,3,O, 
6,23,Y (Y),6,N,N,0.7777,1.0000,4,O, 
7,21,Y (Y),6,N,Y,0.6031,1.0000,3,O, 
8,21,Y (Y),6,N,Y,0.5674,0.8611,3,O, 
9,21,Y (Y),6,N,Y,0.2063,0.5277,2,O, 
10,20,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
11,20,Y (Y),6,N,N,0.8571,0.8611,4,O, 
12,18,Y (Y),6,N,Y,0.6984,1.0000,3,O, 
13,18,Y (Y),6,N,Y,0.5515,1.0000,2,O, 
14,18,Y (Y),6,N,N,0.7777,0.9473,4,O, 
15,17,Y (Y),6,N,Y,0.6984,1.0000,3,O, 
16,16,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
17,16,Y (Y),6,N,N,0.8015,0.7777,4,O, 
18,16,Y (Y),5,N,Y,0.7777,0.8333,4,O, 
19,15,Y (Y),6,N,Y,0.4841,0.7500,3,O, 
20,15,Y (Y),5,N,Y,0.4285,1.0000,2,O, 
21,14,Y (Y),6,N,Y,0.5357,1.0000,2,O, 
22,14,Y (Y),5,N,Y,0.1825,0.8611,2,O, 
23,13,Y (Y),6,N,Y,0.6587,1.0000,3,O, 
24,12,Y (Y),6,N,Y,0.8531,1.0000,4,O, 
25,12,Y (Y),6,N,Y,0.8333,1.0000,4,O, 
26,12,Y (Y),6,N,Y,0.5119,1.0000,2,O, 
27,12,Y (Y),6,N,Y,0.3571,1.0000,2,O, 
28,12,Y (Y),6,N,N,0.8134,1.0000,4,O, 
29,11,Y (Y),6,N,Y,0.5277,1.0000,2,O, 
30,11,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
31,10,Y (Y),6,N,Y,0.4761,0.8333,3,O, 
32,10,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
33,6,Y (Y),6,N,Y,0.2380,0.7500,2,O, 
