순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (Y),4,N,Y,0.8571,0.7222,4,O, 
1,10,Y (Y),4,N,Y,0.8571,0.7222,4,O, 
2,9,Y (Y),6,Y,Y,0.8730,0.6666,4,O, 
3,7,Y (Y),6,N,Y,0.4880,0.6944,3,O, 
4,5,Y (Y),6,N,Y,0.7222,0.8333,3,O, 
5,4,Y (Y),6,N,Y,0.4325,0.9722,2,O, 
6,4,Y (Y),6,N,Y,0.3253,0.9444,2,O, 
7,2,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
8,2,Y (Y),5,Y,Y,0.9444,1.0000,4,O, 
9,1,Y (Y),6,N,Y,0.5198,1.0000,3,O, 
10,1,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
11,1,Y (Y),6,N,Y,0.4246,1.0000,2,O, 
12,1,Y (Y),6,N,Y,0.4087,0.8611,2,O, 
13,1,Y (Y),6,N,Y,0.4007,1.0000,2,O, 
14,1,Y (Y),5,N,Y,0.2817,0.8333,2,O, 
