순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,11,Y (Y),6,N,Y,0.4285,0.8421,2,O, 
1,11,Y (Y),6,N,Y,0.4285,0.8421,2,O, 
2,10,Y (Y),6,N,Y,0.7579,0.9736,4,O, 
3,10,Y (Y),6,N,Y,0.5555,0.8157,3,O, 
4,10,Y (Y),6,N,Y,0.4722,1.0000,2,O, 
5,10,Y (Y),4,N,Y,0.5277,1.0000,2,O, 
6,9,Y (Y),6,N,Y,0.6865,0.9736,3,O, 
7,9,Y (Y),6,N,Y,0.4960,0.9473,3,O, 
8,9,Y (Y),6,N,Y,0.4484,0.9473,2,O, 
9,9,Y (Y),6,N,Y,0.4365,0.9473,2,O, 
10,9,Y (Y),4,N,Y,0.4563,0.8684,2,O, 
11,8,Y (Y),6,N,Y,0.4603,0.7368,2,O, 
12,7,Y (Y),6,N,Y,0.6071,1.0000,3,O, 
13,7,Y (Y),6,N,Y,0.6031,0.8157,3,O, 
14,6,Y (Y),6,N,Y,0.4365,1.0000,2,O, 
15,6,Y (Y),6,N,Y,0.4166,1.0000,2,O, 
16,6,Y (Y),6,N,Y,0.4166,0.8684,2,O, 
17,6,Y (Y),6,N,Y,0.2539,0.8421,2,O, 
18,6,Y (Y),5,N,Y,0.4246,1.0000,2,O, 
19,5,Y (Y),6,N,Y,0.4801,1.0000,2,O, 
20,5,Y (Y),6,N,Y,0.4404,0.8157,2,O, 
21,5,Y (Y),6,N,Y,0.3968,1.0000,2,O, 
22,5,Y (Y),6,N,Y,0.2023,0.8684,2,O, 
23,5,Y (Y),6,N,N,0.8412,0.7894,4,O, 
24,5,Y (Y),5,N,Y,0.4206,0.9736,2,O, 
25,4,Y (Y),6,N,Y,0.4603,1.0000,2,O, 
26,4,Y (Y),6,N,Y,0.4563,1.0000,2,O, 
27,4,Y (Y),6,N,Y,0.4365,0.9473,2,O, 
28,4,Y (Y),6,N,Y,0.3968,1.0000,2,O, 
29,3,Y (Y),6,N,Y,0.4484,0.8684,2,O, 
30,3,Y (Y),5,N,Y,0.3928,0.8684,2,O, 
31,2,Y (Y),6,N,Y,0.4682,1.0000,2,O, 
32,2,Y (Y),6,N,Y,0.4682,0.8157,3,O, 
33,2,Y (Y),6,N,Y,0.4523,0.9736,2,O, 
34,1,Y (Y),6,N,Y,0.8055,0.8947,4,O, 
35,1,Y (Y),6,N,Y,0.6944,1.0000,3,O, 
36,1,Y (Y),6,N,Y,0.5753,1.0000,3,O, 
37,1,Y (Y),6,N,Y,0.4722,1.0000,2,O, 
38,1,Y (Y),6,N,Y,0.4325,0.9210,2,O, 
39,1,Y (Y),6,N,Y,0.4285,0.6842,2,O, 
40,1,Y (Y),6,N,Y,0.4246,0.8684,2,O, 
41,1,Y (Y),5,Y,Y,1.0000,0.9736,4,O, 
42,1,Y (Y),5,N,Y,0.5714,1.0000,2,O, 
