순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),5,N,Y,0.7380,1.0000,3,O, 
1,36,Y (Y),5,N,Y,0.7380,1.0000,3,O, 
2,36,Y (Y),5,N,Y,0.6904,0.8888,3,X, 
3,30,Y (Y),5,N,Y,0.7857,0.8333,4,O, 
4,30,Y (Y),2,N,Y,0.8412,0.8333,4,O, 
5,29,Y (Y),5,N,Y,0.5952,0.8611,4,O, 
6,26,Y (Y),4,N,Y,0.8452,0.8611,4,O, 
7,26,Y (Y),3,N,Y,0.8571,1.0000,4,O, 
8,25,Y (Y),5,N,Y,0.7301,1.0000,4,O, 
9,25,Y (Y),4,N,Y,0.5476,0.8611,4,O, 
10,20,Y (Y),4,N,Y,0.7738,1.0000,4,O, 
11,18,Y (Y),5,N,Y,0.7619,0.8333,4,O, 
12,15,Y (Y),4,N,Y,0.8253,0.9444,4,O, 
13,12,Y (Y),5,N,Y,0.7380,0.8333,4,O, 
14,9,Y (Y),5,N,Y,0.7301,1.0000,3,X, 
15,8,Y (Y),6,N,Y,0.8313,1.0000,4,O, 
16,8,Y (Y),5,N,Y,0.7916,1.0000,4,O, 
17,7,Y (Y),5,N,Y,0.7976,1.0000,4,O, 
18,6,Y (Y),5,N,Y,0.7619,0.6666,4,O, 
19,6,Y (Y),4,N,Y,0.8650,1.0000,4,O, 
20,5,Y (Y),5,N,Y,0.7619,1.0000,4,O, 
21,5,Y (Y),5,N,Y,0.6428,0.8333,4,O, 
22,4,Y (Y),6,N,Y,0.6984,0.8333,3,X, 
23,4,Y (Y),5,N,Y,0.8273,1.0000,4,O, 
24,3,Y (Y),6,N,Y,0.7619,0.9722,4,O, 
25,2,Y (Y),6,Y,Y,0.9206,0.8333,4,O, 
26,2,Y (Y),6,N,Y,0.7261,0.8333,3,X, 
27,1,Y (Y),6,Y,Y,0.7500,1.0000,4,O, 
28,1,Y (Y),5,Y,Y,1.0000,1.0000,4,O, 
29,1,Y (Y),5,Y,Y,0.9047,0.8333,4,O, 
30,1,Y (Y),5,N,Y,0.8571,1.0000,4,O, 
31,1,Y (Y),5,N,Y,0.8095,1.0000,4,O, 
32,1,Y (Y),5,N,Y,0.6111,1.0000,3,X, 
33,1,Y (Y),4,N,Y,1.0000,0.6666,4,O, 
