순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),1,N,Y,1.0000,0.9473,4,O, 
1,36,Y (Y),1,N,Y,1.0000,0.9473,4,O, 
2,35,Y (Y),4,Y,Y,1.0000,1.0000,4,O, 
3,30,Y (Y),5,N,Y,0.2817,0.9736,2,O, 
4,22,Y (Y),6,N,Y,0.2380,0.6842,2,O, 
5,19,Y (Y),6,N,Y,0.9682,0.9473,4,O, 
6,15,Y (Y),6,N,Y,0.7142,0.9736,4,O, 
7,11,Y (Y),6,N,Y,0.4285,0.4736,2,O, 
8,10,Y (Y),6,Y,Y,0.9444,0.7894,4,O, 
9,10,Y (Y),6,N,Y,0.8492,0.9473,4,O, 
10,10,Y (Y),6,N,Y,0.4603,0.9473,2,O, 
11,9,Y (Y),6,N,Y,0.3809,1.0000,3,O, 
12,7,Y (Y),6,N,Y,0.4880,0.9210,2,O, 
13,6,Y (Y),6,N,Y,0.7777,0.7894,4,O, 
14,6,Y (Y),6,N,Y,0.4166,1.0000,2,O, 
15,5,Y (Y),6,Y,Y,1.0000,0.9473,4,O, 
16,5,Y (Y),6,N,Y,0.7103,0.9736,3,O, 
17,5,Y (Y),6,N,Y,0.6626,0.8157,3,O, 
18,5,Y (Y),6,N,Y,0.5714,1.0000,2,O, 
19,5,Y (Y),6,N,Y,0.5476,0.8157,3,O, 
20,5,Y (Y),6,N,Y,0.4484,0.9736,2,O, 
21,5,Y (Y),6,N,Y,0.4246,0.8157,2,O, 
22,4,Y (Y),6,N,Y,0.6865,0.9736,3,O, 
23,4,Y (Y),6,N,Y,0.4920,0.9473,2,O, 
24,4,Y (Y),6,N,Y,0.4206,0.8684,2,O, 
25,4,Y (Y),6,N,Y,0.3928,0.8157,2,O, 
26,4,Y (Y),6,N,Y,0.2738,0.9473,2,O, 
27,3,Y (Y),6,N,Y,0.7539,0.9473,3,O, 
28,3,Y (Y),6,N,Y,0.6984,0.9473,3,O, 
29,3,Y (Y),6,N,Y,0.5674,0.7894,3,O, 
30,3,Y (Y),6,N,Y,0.4682,0.9473,2,O, 
31,3,Y (Y),6,N,Y,0.4404,0.8157,2,O, 
32,3,Y (Y),5,N,Y,0.4642,0.8157,2,O, 
33,2,Y (Y),6,N,Y,0.6904,0.8947,3,O, 
34,2,Y (Y),6,N,Y,0.6269,0.8157,3,O, 
35,2,Y (Y),6,N,Y,0.6031,1.0000,3,O, 
36,2,Y (Y),6,N,Y,0.4484,0.8157,2,O, 
37,2,Y (Y),6,N,Y,0.2698,1.0000,2,O, 
38,2,Y (Y),5,N,Y,0.4007,0.8684,2,O, 
39,1,Y (Y),6,Y,Y,1.0000,0.6315,4,O, 
40,1,Y (Y),6,N,Y,0.7142,0.7894,3,O, 
41,1,Y (Y),6,N,Y,0.6984,0.9736,3,O, 
42,1,Y (Y),6,N,Y,0.5396,0.8684,3,O, 
43,1,Y (Y),6,N,Y,0.4801,1.0000,2,O, 
44,1,Y (Y),6,N,Y,0.4801,0.9210,2,O, 
45,1,Y (Y),6,N,Y,0.4126,0.7894,2,O, 
46,1,Y (Y),6,N,Y,0.4047,0.9473,2,X, 
