순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,Y,Y,0.9523,0.8333,4,O, 
1,36,Y (Y),6,Y,Y,0.9523,0.8333,4,O, 
2,36,Y (Y),6,Y,Y,0.9444,0.8333,4,O, 
3,36,Y (Y),6,Y,Y,0.9365,0.8333,4,O, 
4,36,Y (Y),6,Y,Y,0.9365,0.6666,4,O, 
5,36,Y (Y),6,Y,Y,0.9285,0.8888,4,O, 
6,36,Y (Y),6,Y,Y,0.8888,0.8333,4,O, 
7,36,Y (Y),6,Y,Y,0.8730,1.0000,4,O, 
8,36,Y (Y),6,Y,Y,0.8571,1.0000,4,O, 
9,36,Y (Y),6,N,Y,1.0000,0.7894,4,O, 
10,36,Y (Y),6,N,Y,0.9047,0.6666,4,O, 
11,36,Y (Y),6,N,Y,0.8650,0.9166,4,O, 
12,36,Y (Y),6,N,Y,0.8571,1.0000,4,O, 
13,36,Y (Y),6,N,Y,0.8492,0.9444,4,O, 
14,36,Y (Y),6,N,Y,0.8253,1.0000,4,O, 
15,36,Y (Y),6,N,Y,0.8253,0.8333,4,O, 
16,36,Y (Y),6,N,Y,0.8095,1.0000,4,O, 
17,36,Y (Y),6,N,Y,0.8095,0.8611,4,X, 
18,36,Y (Y),6,N,Y,0.8015,0.9473,4,X, 
19,36,Y (Y),6,N,Y,0.6190,1.0000,3,X, 
20,36,Y (Y),6,N,Y,0.6111,0.8611,3,X, 
21,36,Y (Y),6,N,Y,0.5079,0.9444,3,X, 
22,36,Y (Y),5,N,Y,0.8214,0.8611,4,X, 
23,36,Y (Y),5,N,Y,0.5873,0.3333,3,X, 
24,36,Y (Y),4,Y,Y,1.0000,0.7894,4,X, 
25,36,Y (Y),4,Y,Y,0.9265,1.0000,4,X, 
26,36,Y (Y),4,N,Y,0.7539,1.0000,4,X, 
27,36,Y (Y),4,N,Y,0.7301,0.8333,4,X, 
28,36,Y (Y),2,N,Y,1.0000,0.9473,4,X, 
29,35,Y (Y),2,Y,Y,0.7619,0.8333,4,X, 
30,33,Y (Y),5,N,Y,0.7976,0.8611,4,X, 
31,11,Y (Y),5,Y,Y,0.9444,1.0000,4,X, 
32,1,Y (Y),6,N,Y,0.7976,0.9444,4,X, 
