순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (Y),6,N,Y,0.3849,0.8611,2,O, 
1,18,Y (Y),6,N,Y,0.3849,0.8611,2,O, 
2,11,Y (Y),6,N,Y,0.8412,0.8333,4,O, 
3,11,Y (Y),6,N,Y,0.6666,1.0000,3,O, 
4,10,Y (Y),6,N,Y,0.4206,0.8611,2,O, 
5,9,Y (Y),6,N,Y,0.4087,0.8611,2,O, 
6,6,Y (Y),6,N,Y,0.9365,1.0000,4,O, 
7,6,Y (Y),6,N,Y,0.7619,1.0000,3,O, 
8,5,Y (Y),6,N,Y,0.4960,1.0000,2,O, 
9,4,Y (Y),6,N,Y,0.8253,0.8333,4,O, 
10,4,Y (Y),6,N,Y,0.4166,0.8611,2,O, 
11,3,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
12,2,Y (Y),6,N,Y,0.8730,1.0000,4,O, 
13,1,Y (Y),6,N,Y,0.6428,1.0000,3,O, 
14,1,Y (Y),5,N,Y,0.3095,1.0000,2,O, 
