순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
1,12,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
2,11,Y (Y),6,N,Y,0.4206,1.0000,2,O, 
3,10,Y (Y),6,N,Y,0.4404,1.0000,2,O, 
4,10,Y (Y),5,N,Y,0.2579,1.0000,2,O, 
5,9,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
6,5,Y (Y),6,N,Y,0.6746,1.0000,3,O, 
7,5,Y (Y),6,N,Y,0.4563,0.8611,2,O, 
8,2,Y (Y),6,N,Y,0.7261,0.8611,3,O, 
9,2,Y (Y),6,N,Y,0.2777,0.8888,2,O, 
10,2,Y (Y),6,N,Y,0.1984,0.5000,2,O, 
11,1,Y (Y),6,N,Y,0.4126,0.8611,2,O, 
