순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,17,Y (Y),5,N,Y,0.7698,0.8888,4,O, 
1,17,Y (Y),5,N,Y,0.7698,0.8888,4,O, 
2,15,Y (Y),6,N,Y,0.2698,0.8888,2,O, 
3,14,Y (Y),5,N,Y,0.8730,1.0000,4,O, 
4,13,Y (Y),6,N,Y,0.6825,0.9444,4,O, 
5,12,Y (Y),6,N,Y,0.4246,1.0000,2,O, 
6,12,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
7,12,Y (Y),6,N,Y,0.2777,0.8333,2,O, 
8,12,Y (Y),5,N,Y,0.8015,1.0000,4,O, 
9,12,Y (Y),4,N,Y,0.6785,1.0000,3,O, 
10,11,Y (Y),6,N,Y,0.6111,1.0000,3,O, 
11,11,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
12,10,Y (Y),6,N,Y,0.7242,1.0000,3,O, 
13,10,Y (Y),6,N,Y,0.7023,0.7222,4,O, 
14,10,Y (Y),6,N,Y,0.6507,1.0000,3,O, 
15,10,Y (Y),6,N,Y,0.4166,0.9444,2,O, 
16,10,Y (Y),6,N,Y,0.3849,0.7777,3,O, 
17,10,Y (Y),6,N,Y,0.3769,0.7500,2,O, 
18,10,Y (Y),6,N,Y,0.3611,0.7500,2,O, 
19,9,Y (Y),6,N,Y,0.7777,1.0000,4,X, 
20,9,Y (Y),6,N,Y,0.5238,0.8333,3,O, 
21,9,Y (Y),6,N,Y,0.4246,0.1944,3,O, 
22,9,Y (Y),5,N,Y,0.6507,1.0000,3,O, 
23,8,Y (Y),6,N,Y,0.7539,1.0000,4,X, 
24,8,Y (Y),6,N,Y,0.3452,0.8333,3,O, 
25,8,Y (Y),5,N,Y,0.7460,0.8888,4,X, 
26,6,Y (Y),6,N,Y,0.5793,0.8611,3,X, 
27,6,Y (Y),6,N,Y,0.4920,0.8611,3,X, 
28,6,Y (Y),6,N,Y,0.4920,0.7500,3,X, 
29,5,Y (Y),6,N,Y,0.7619,1.0000,4,X, 
30,5,Y (Y),6,N,Y,0.7142,1.0000,4,X, 
31,5,Y (Y),6,N,Y,0.6666,0.8888,3,X, 
32,5,Y (Y),6,N,Y,0.5277,0.8611,3,X, 
33,5,Y (Y),5,N,Y,0.5357,0.8333,3,X, 
34,5,Y (Y),5,N,Y,0.3888,0.8888,2,O, 
35,4,Y (Y),6,N,Y,0.6587,1.0000,3,X, 
36,3,Y (Y),6,N,Y,0.4801,0.9722,3,X, 
37,2,Y (Y),6,N,Y,0.6150,1.0000,3,X, 
38,2,Y (Y),6,N,Y,0.6150,1.0000,3,X, 
39,2,Y (Y),6,N,Y,0.5238,1.0000,3,X, 
40,1,Y (Y),6,N,Y,0.4920,1.0000,3,X, 
