순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,33,Y (Y),6,N,Y,0.5634,0.8611,3,O, 
1,33,Y (Y),6,N,Y,0.5634,0.8611,3,O, 
2,23,Y (Y),6,N,Y,0.5634,1.0000,3,O, 
3,23,Y (Y),5,N,Y,0.5753,0.9444,3,O, 
4,22,Y (Y),6,N,Y,0.5476,0.9722,3,O, 
5,21,Y (Y),6,N,Y,0.7777,1.0000,4,O, 
6,21,Y (Y),6,N,Y,0.6666,1.0000,4,O, 
7,21,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
8,20,Y (Y),6,N,Y,0.7539,1.0000,4,O, 
9,19,Y (Y),6,N,Y,0.4007,1.0000,2,O, 
10,18,Y (Y),6,N,Y,0.8015,1.0000,4,O, 
11,18,Y (Y),6,N,Y,0.7341,1.0000,4,O, 
12,18,Y (Y),6,N,Y,0.7023,1.0000,4,X, 
13,18,Y (Y),6,N,Y,0.6984,1.0000,4,X, 
14,17,Y (Y),6,N,Y,0.5119,0.9722,3,O, 
15,17,Y (Y),6,N,Y,0.2777,0.8888,2,O, 
16,15,Y (Y),6,N,Y,0.6507,0.8333,3,O, 
17,15,Y (Y),6,N,Y,0.2619,0.7777,2,O, 
18,14,Y (Y),6,N,Y,0.3452,0.6666,2,O, 
19,13,Y (Y),6,N,Y,0.3492,1.0000,2,O, 
20,13,Y (Y),6,N,Y,0.2539,0.8888,2,O, 
21,13,Y (Y),5,N,Y,0.8174,0.8333,4,X, 
22,12,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
23,12,Y (Y),6,N,Y,0.3769,0.8611,2,O, 
24,11,Y (Y),6,N,Y,0.7301,0.8333,4,X, 
25,11,Y (Y),6,N,Y,0.5357,1.0000,3,O, 
26,11,Y (Y),6,N,Y,0.4365,0.6666,3,O, 
27,11,Y (Y),6,N,Y,0.4007,0.9722,2,O, 
28,11,Y (Y),6,N,Y,0.2539,0.9444,2,O, 
29,11,Y (Y),6,N,Y,0.2380,0.8888,2,O, 
30,10,Y (Y),6,N,Y,0.7777,1.0000,4,X, 
31,10,Y (Y),6,N,Y,0.5158,0.7500,3,O, 
32,10,Y (Y),6,N,Y,0.3769,1.0000,2,O, 
33,10,Y (Y),6,N,Y,0.3531,0.9444,2,O, 
34,10,Y (Y),6,N,Y,0.2619,0.8888,2,O, 
35,10,Y (Y),5,N,Y,0.7539,1.0000,3,X, 
36,10,Y (Y),5,N,Y,0.6626,0.8333,3,X, 
37,10,Y (Y),5,N,Y,0.3888,0.8333,2,O, 
38,8,Y (Y),5,N,Y,0.2698,0.8333,2,O, 
39,7,Y (Y),6,N,Y,0.6587,0.8333,3,X, 
40,7,Y (Y),6,N,Y,0.3531,0.9444,2,O, 
41,7,Y (Y),5,N,Y,0.3928,0.9166,2,O, 
42,6,Y (Y),6,N,Y,0.8095,1.0000,4,X, 
43,6,Y (Y),6,N,Y,0.5873,0.6944,3,X, 
44,5,Y (Y),6,N,Y,0.5952,1.0000,3,X, 
45,5,Y (Y),5,N,Y,0.2857,0.7777,2,O, 
46,2,Y (Y),6,N,Y,0.5952,1.0000,3,X, 
47,1,Y (Y),6,N,Y,0.7619,1.0000,4,X, 
