순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
1,24,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
2,24,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
3,24,Y (Y),6,N,Y,0.7936,1.0000,4,O, 
4,24,Y (Y),6,N,Y,0.7460,1.0000,4,O, 
5,24,Y (Y),6,N,Y,0.5555,0.9722,3,O, 
6,24,Y (Y),6,N,Y,0.5476,1.0000,3,X, 
7,24,Y (Y),6,N,Y,0.4603,1.0000,2,X, 
8,24,Y (Y),6,N,Y,0.3611,0.9166,2,X, 
9,24,Y (Y),6,N,Y,0.3293,1.0000,2,X, 
10,24,Y (Y),6,N,Y,0.3095,1.0000,2,X, 
11,24,Y (Y),6,N,Y,0.2936,1.0000,2,X, 
12,24,Y (Y),6,N,Y,0.2817,0.8055,2,X, 
13,24,Y (Y),6,N,Y,0.2777,1.0000,2,X, 
14,24,Y (Y),5,N,Y,0.7301,0.8333,3,X, 
15,24,Y (Y),5,N,Y,0.3293,1.0000,2,X, 
16,24,Y (Y),5,N,Y,0.3174,1.0000,2,X, 
17,24,Y (Y),5,N,Y,0.2698,0.7777,2,X, 
18,24,Y (Y),4,Y,Y,1.0000,0.8333,4,X, 
19,24,Y (Y),4,Y,Y,0.9047,0.8333,4,X, 
20,23,Y (Y),6,N,Y,0.6349,1.0000,4,X, 
21,23,Y (Y),6,N,Y,0.4563,0.8611,2,X, 
22,22,Y (Y),6,N,Y,0.5634,0.8611,3,X, 
23,22,Y (Y),6,N,Y,0.3333,1.0000,2,X, 
24,22,Y (Y),6,N,Y,0.2857,0.8888,2,X, 
25,22,Y (Y),5,N,Y,0.3174,1.0000,2,X, 
26,19,Y (Y),6,N,N,0.3888,0.8611,2,X, 
27,17,Y (Y),6,N,Y,0.4087,0.8611,2,X, 
28,16,Y (Y),6,N,Y,0.1071,0.7500,2,X, 
29,12,Y (Y),6,N,Y,0.3095,1.0000,2,X, 
30,12,Y (Y),4,N,Y,0.8412,1.0000,4,X, 
