순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),6,N,Y,0.8571,0.8888,4,O, 
1,24,Y (Y),6,N,Y,0.8571,0.8888,4,O, 
2,19,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
3,18,Y (Y),5,N,Y,0.5714,0.9722,3,O, 
4,17,Y (Y),6,N,Y,0.5873,0.8611,3,O, 
5,16,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
6,16,Y (Y),5,N,Y,0.4166,0.8611,2,O, 
7,15,Y (Y),6,N,Y,0.4642,0.8611,3,O, 
8,11,Y (Y),5,N,Y,0.5238,0.8611,3,O, 
9,7,Y (Y),6,N,Y,0.4365,1.0000,2,O, 
10,6,Y (Y),6,N,Y,0.5873,0.8333,3,O, 
11,5,Y (Y),6,N,Y,0.3611,0.7500,2,O, 
12,4,Y (Y),6,N,Y,0.6507,0.9444,3,O, 
13,4,Y (Y),5,N,Y,0.5476,0.8888,3,O, 
14,1,Y (Y),6,N,Y,0.5714,0.8333,3,O, 
15,1,Y (Y),6,N,Y,0.4166,0.9166,2,O, 
16,1,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
