순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,16,Y (Y),6,N,Y,0.7301,1.0000,3,O, 
1,16,Y (Y),6,N,Y,0.7301,1.0000,3,O, 
2,10,Y (Y),6,N,Y,0.5476,1.0000,3,O, 
3,10,Y (Y),5,Y,Y,0.8809,0.8333,4,O, 
4,10,Y (Y),5,N,Y,0.7619,0.8333,4,O, 
5,9,Y (Y),6,N,Y,0.5476,0.8611,4,O, 
6,6,Y (Y),6,N,Y,0.5833,1.0000,3,O, 
7,4,Y (Y),6,N,Y,0.2936,0.8888,2,O, 
8,2,Y (Y),6,N,Y,0.5555,0.8611,3,O, 
9,2,Y (Y),6,N,Y,0.4325,0.8611,2,O, 
10,2,Y (Y),6,N,Y,0.2380,0.7222,2,O, 
11,1,Y (Y),6,N,Y,0.6944,1.0000,3,O, 
12,1,Y (Y),6,N,Y,0.4920,0.8611,3,O, 
13,1,Y (Y),6,N,Y,0.2698,1.0000,2,O, 
