순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),6,N,Y,0.7976,1.0000,4,O, 
1,24,Y (Y),6,N,Y,0.7976,1.0000,4,O, 
2,24,Y (Y),6,N,Y,0.7063,1.0000,3,O, 
3,24,Y (Y),6,N,Y,0.6190,1.0000,3,O, 
4,24,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
5,24,Y (Y),6,N,Y,0.3769,0.6944,2,O, 
6,24,Y (Y),6,N,N,0.4801,1.0000,2,O, 
7,24,Y (Y),4,N,Y,0.8055,1.0000,3,O, 
8,19,Y (Y),5,N,Y,0.6111,1.0000,3,X, 
9,13,Y (Y),6,N,Y,0.8571,1.0000,4,O, 
10,10,Y (Y),6,N,N,0.7698,1.0000,3,X, 
11,2,Y (Y),6,N,Y,0.6587,0.8888,3,X, 
12,1,Y (Y),3,N,Y,0.8333,1.0000,4,O, 
