순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),2,Y,N,0.9714,0.8947,4,O, 
1,36,N (N),2,Y,N,0.9714,0.8947,4,O, 
2,13,N (N),6,Y,N,0.9841,1.0000,4,O, 
3,3,N (N),6,N,Y,0.5436,1.0000,3,O, 
4,2,N (N),6,N,Y,0.7142,0.7894,4,O, 
5,2,N (N),6,N,Y,0.6150,0.8333,3,O, 
6,2,N (N),6,N,Y,0.4087,0.9722,2,O, 
7,1,N (N),6,Y,Y,0.9761,0.8611,4,O, 
8,1,N (N),6,Y,Y,0.9333,0.9473,4,O, 
9,1,N (N),6,Y,Y,0.9285,1.0000,4,O, 
10,1,N (N),6,Y,Y,0.8888,1.0000,4,O, 
11,1,N (N),6,Y,Y,0.8888,1.0000,4,O, 
12,1,N (N),6,Y,Y,0.7936,1.0000,4,O, 
13,1,N (N),6,N,Y,0.8571,0.8333,4,O, 
14,1,N (N),6,N,Y,0.8095,1.0000,4,O, 
15,1,N (N),6,N,Y,0.7698,1.0000,4,O, 
16,1,N (N),6,N,Y,0.6746,1.0000,3,O, 
17,1,N (N),6,N,Y,0.6142,1.0000,3,O, 
18,1,N (N),6,N,Y,0.6111,1.0000,3,O, 
19,1,N (N),6,N,Y,0.5793,1.0000,3,O, 
20,1,N (N),6,N,Y,0.5793,0.9166,3,O, 
21,1,N (N),6,N,Y,0.4007,1.0000,2,O, 
22,1,N (N),6,N,N,0.7103,0.9166,3,O, 
