순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9523,1.0000,4,O, 
1,36,N (N),6,Y,Y,0.9523,1.0000,4,O, 
2,36,N (N),6,N,Y,0.5634,1.0000,3,O, 
3,36,N (N),6,N,Y,0.4682,1.0000,2,O, 
4,36,N (N),6,N,Y,0.3962,0.8157,2,O, 
5,33,N (N),6,Y,Y,0.9841,1.0000,4,O, 
6,30,N (N),6,N,Y,0.5873,1.0000,3,O, 
7,28,N (N),6,N,Y,0.7380,1.0000,4,O, 
8,27,N (N),5,N,Y,0.9296,1.0000,4,O, 
9,26,N (N),6,Y,Y,1.0000,0.6666,4,O, 
10,26,N (N),6,N,Y,0.4801,1.0000,2,O, 
11,25,N (N),6,N,Y,0.6962,1.0000,3,O, 
12,24,N (N),6,Y,Y,0.9047,0.7222,4,O, 
13,24,N (N),6,Y,Y,0.9037,0.8947,4,O, 
14,24,N (N),6,N,Y,0.5396,0.8055,3,O, 
15,23,N (N),6,Y,Y,0.8730,0.6666,4,O, 
16,23,N (N),6,N,Y,0.4087,1.0000,2,O, 
17,22,N (N),6,N,Y,0.5634,1.0000,3,O, 
18,22,N (N),6,N,Y,0.5629,0.9736,3,O, 
19,22,N (N),5,N,Y,0.4851,0.7368,3,O, 
20,21,N (N),6,Y,Y,0.8730,0.9444,4,O, 
21,21,N (N),6,N,Y,0.7539,1.0000,3,O, 
22,21,N (N),6,N,Y,0.6984,0.6666,4,O, 
23,21,N (N),6,N,Y,0.6507,0.8333,3,O, 
24,21,N (N),6,N,Y,0.4801,0.8611,2,O, 
25,20,N (N),6,Y,Y,0.9444,0.8888,4,O, 
26,20,N (N),6,Y,Y,0.9246,0.8333,4,O, 
27,20,N (N),6,N,Y,0.7301,1.0000,3,O, 
28,20,N (N),6,N,Y,0.5851,0.7894,3,O, 
29,20,N (N),6,N,Y,0.4841,0.5277,3,O, 
30,20,N (N),6,N,Y,0.4801,1.0000,2,O, 
31,19,N (N),6,N,Y,0.8142,1.0000,4,O, 
32,19,N (N),6,N,Y,0.7222,0.8611,4,O, 
33,19,N (N),6,N,Y,0.5555,1.0000,3,O, 
34,19,N (N),6,N,Y,0.4703,0.9736,2,O, 
35,19,N (N),5,Y,Y,0.9111,0.9473,4,O, 
36,18,N (N),6,N,Y,0.6150,0.8333,3,O, 
37,18,N (N),6,N,Y,0.4259,0.9736,2,O, 
38,18,N (N),5,Y,Y,0.9481,1.0000,4,O, 
39,17,N (N),6,Y,Y,0.9841,1.0000,4,O, 
40,17,N (N),6,N,Y,0.7619,0.6666,4,O, 
41,17,N (N),6,N,Y,0.6468,1.0000,3,O, 
42,17,N (N),6,N,Y,0.6269,1.0000,3,O, 
43,17,N (N),6,N,Y,0.6230,1.0000,3,O, 
44,16,N (N),6,N,Y,0.7063,1.0000,3,O, 
45,16,N (N),6,N,Y,0.6592,0.9473,3,O, 
46,16,N (N),6,N,Y,0.4037,0.9736,2,O, 
47,16,N (N),4,N,Y,0.6142,0.6315,4,O, 
48,15,N (N),6,N,Y,0.7259,0.8421,4,O, 
49,15,N (N),6,N,Y,0.7063,1.0000,3,O, 
50,15,N (N),6,N,Y,0.6666,1.0000,3,O, 
51,15,N (N),6,N,Y,0.4259,0.9736,2,O, 
52,14,N (N),6,N,Y,0.7380,0.8333,4,O, 
53,13,N (N),6,N,Y,0.7142,0.8333,3,O, 
54,13,N (N),6,N,Y,0.6592,0.9473,3,O, 
55,13,N (N),6,N,Y,0.5674,0.8611,3,O, 
56,13,N (N),6,N,Y,0.2888,0.7894,2,O, 
57,12,N (N),6,Y,Y,0.8888,1.0000,4,O, 
58,12,N (N),6,Y,Y,0.8809,1.0000,4,O, 
59,12,N (N),6,N,Y,0.7896,1.0000,4,O, 
60,12,N (N),6,N,Y,0.5714,1.0000,3,O, 
61,12,N (N),6,N,Y,0.5238,1.0000,3,O, 
62,11,N (N),5,N,Y,0.7539,1.0000,3,O, 
63,10,N (N),6,N,Y,0.7301,0.8333,4,O, 
64,10,N (N),6,N,Y,0.6468,1.0000,3,X, 
65,10,N (N),6,N,Y,0.5039,1.0000,2,X, 
66,10,N (N),6,N,Y,0.4246,0.7500,2,X, 
67,10,N (N),6,N,Y,0.4185,0.9210,2,X, 
68,10,N (N),6,N,Y,0.3888,0.9736,2,X, 
69,8,N (N),6,Y,Y,0.9444,1.0000,4,X, 
70,8,N (N),6,N,Y,0.4407,1.0000,2,X, 
71,7,N (N),6,N,Y,0.5873,1.0000,3,X, 
72,6,N (N),6,N,Y,0.8333,1.0000,4,X, 
73,6,N (N),6,N,Y,0.8095,0.8333,4,X, 
74,4,N (N),6,N,Y,0.8174,0.8888,4,X, 
75,3,N (N),6,N,Y,0.7301,1.0000,3,X, 
76,1,N (N),5,N,Y,0.7777,1.0000,4,X, 
