순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.8296,0.9736,4,O, 
1,36,N (N),6,N,Y,0.8296,0.9736,4,O, 
2,36,N (N),3,Y,Y,1.0000,0.5000,4,O, 
3,36,N (N),3,Y,Y,0.9703,0.6666,4,O, 
4,36,N (N),3,N,Y,0.7037,1.0000,4,O, 
5,35,N (N),2,Y,Y,0.9682,0.7222,4,O, 
6,28,N (N),3,Y,Y,0.9285,0.6315,4,O, 
7,25,N (N),6,Y,Y,0.9555,0.8333,4,O, 
8,23,N (N),6,N,Y,0.4365,1.0000,2,O, 
9,22,N (N),6,N,Y,0.7925,1.0000,4,O, 
10,20,N (N),6,N,Y,0.7185,0.9473,3,O, 
11,20,N (N),6,N,Y,0.4111,0.8157,2,O, 
12,19,N (N),6,N,Y,0.7222,0.8333,3,O, 
13,19,N (N),5,Y,Y,0.9126,0.6666,4,O, 
14,18,N (N),6,N,Y,0.8571,0.8333,4,O, 
15,18,N (N),6,N,Y,0.4801,0.8611,2,O, 
16,18,N (N),6,N,Y,0.3253,0.8888,2,O, 
17,18,N (N),5,N,Y,0.7301,0.8333,3,O, 
18,18,N (N),5,N,Y,0.4682,0.8333,3,O, 
19,16,N (N),6,Y,Y,0.9629,0.7894,4,O, 
20,16,N (N),6,N,Y,0.5703,1.0000,3,O, 
21,16,N (N),4,Y,Y,0.9777,1.0000,4,O, 
22,15,N (N),6,Y,Y,0.9126,0.8333,4,O, 
23,15,N (N),6,N,Y,0.9342,1.0000,2,O, 
24,15,N (N),6,N,Y,0.9111,1.0000,4,O, 
25,15,N (N),6,N,Y,0.8962,0.8611,4,O, 
26,15,N (N),6,N,Y,0.8684,0.8750,2,O, 
27,15,N (N),6,N,Y,0.7698,1.0000,4,O, 
28,15,N (N),6,N,Y,0.7539,1.0000,3,O, 
29,15,N (N),6,N,Y,0.7142,1.0000,3,O, 
30,15,N (N),6,N,Y,0.6984,0.8333,3,O, 
31,15,N (N),6,N,Y,0.4325,0.8611,2,O, 
32,14,N (N),6,N,Y,0.8552,0.9583,2,O, 
33,14,N (N),6,N,Y,0.7380,1.0000,3,O, 
34,13,N (N),6,Y,Y,0.8888,0.6944,4,O, 
35,13,N (N),6,N,Y,0.9296,1.0000,4,O, 
36,13,N (N),6,N,Y,0.8815,0.9166,2,O, 
37,13,N (N),6,N,Y,0.7698,1.0000,3,O, 
38,13,N (N),6,N,Y,0.7555,0.9736,4,O, 
39,13,N (N),6,N,Y,0.5888,0.9736,3,O, 
40,12,N (N),6,Y,Y,0.8592,1.0000,4,O, 
41,12,N (N),6,N,Y,0.8492,1.0000,4,X, 
42,12,N (N),6,N,Y,0.8222,1.0000,4,X, 
43,12,N (N),6,N,Y,0.7703,0.6842,4,X, 
44,12,N (N),6,N,Y,0.6626,1.0000,3,X, 
45,12,N (N),6,N,Y,0.4960,0.5277,2,X, 
46,12,N (N),6,N,Y,0.4642,0.8611,2,X, 
47,12,N (N),6,N,Y,0.3928,0.8611,2,X, 
48,11,N (N),6,Y,Y,0.9285,1.0000,4,X, 
49,11,N (N),6,N,Y,0.6468,0.8888,3,X, 
50,10,N (N),6,Y,Y,0.9365,0.8333,4,X, 
51,10,N (N),6,Y,Y,0.9037,0.7894,4,X, 
52,10,N (N),6,N,Y,0.6481,1.0000,3,X, 
53,10,N (N),6,N,Y,0.6074,0.4736,3,X, 
54,9,N (N),6,Y,Y,0.9603,1.0000,4,X, 
55,9,N (N),6,N,Y,0.3095,1.0000,2,X, 
56,8,N (N),6,N,Y,0.7571,0.9473,4,X, 
57,8,N (N),6,N,Y,0.5476,0.8611,3,X, 
58,4,N (N),6,N,Y,0.8015,1.0000,3,X, 
59,4,N (N),6,N,Y,0.6230,0.6944,4,X, 
60,3,N (N),6,N,Y,0.4185,0.9736,2,X, 
61,1,N (N),6,Y,Y,0.9523,0.5000,4,X, 
62,1,N (N),6,N,Y,0.7777,0.8333,3,X, 
