순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,N (N),2,N,Y,0.7500,0.9375,4,O, 
1,35,N (N),2,N,Y,0.7500,0.9375,4,O, 
2,13,N (N),4,N,Y,0.8000,1.0000,4,O, 
3,12,N (N),6,N,Y,0.6190,0.9166,3,O, 
4,10,N (N),5,N,Y,0.5000,0.9375,3,O, 
5,2,N (N),6,Y,Y,1.0000,1.0000,4,O, 
6,2,N (N),6,N,Y,0.6785,1.0000,3,O, 
7,2,N (N),6,N,Y,0.5952,1.0000,3,O, 
8,1,N (N),6,Y,Y,1.0000,1.0000,4,O, 
9,1,N (N),6,Y,Y,0.9285,0.8333,4,O, 
10,1,N (N),6,N,Y,0.8809,0.8333,4,O, 
11,1,N (N),6,N,Y,0.8370,1.0000,4,O, 
12,1,N (N),6,N,Y,0.7037,0.9473,3,O, 
13,1,N (N),6,N,Y,0.6031,1.0000,3,O, 
