순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.8203,1.0000,4,O, 
1,36,N (N),6,N,Y,0.8203,1.0000,4,O, 
2,36,N (N),6,N,Y,0.8134,0.8333,4,O, 
3,36,N (N),6,N,Y,0.5037,0.9210,3,O, 
4,36,N (N),2,Y,Y,0.9629,0.9473,4,O, 
5,36,N (N),1,N,Y,0.7500,0.8881,4,O, 
6,33,N (N),6,N,Y,0.5476,0.8611,3,O, 
7,33,N (N),6,N,Y,0.3962,1.0000,2,O, 
8,28,N (N),6,N,Y,0.6370,0.9473,4,O, 
9,28,N (N),6,N,Y,0.5119,0.8611,3,O, 
10,26,N (N),6,N,Y,0.6666,0.8947,3,O, 
11,25,N (N),6,N,Y,0.7777,0.9473,4,O, 
12,23,N (N),6,Y,Y,0.9703,0.8333,4,O, 
13,22,N (N),6,N,Y,0.4642,1.0000,2,O, 
14,20,N (N),6,N,Y,0.4484,1.0000,2,O, 
15,19,N (N),6,N,Y,0.8253,1.0000,4,O, 
16,19,N (N),5,Y,Y,0.8888,0.9736,4,O, 
17,17,N (N),6,N,Y,0.7857,0.9444,4,O, 
18,17,N (N),6,N,Y,0.5317,1.0000,3,O, 
19,15,N (N),6,Y,Y,0.8888,1.0000,4,O, 
20,15,N (N),6,N,Y,0.8214,1.0000,4,O, 
21,15,N (N),5,Y,Y,0.9126,0.8888,4,O, 
22,15,N (N),5,Y,Y,0.9037,1.0000,4,O, 
23,14,N (N),6,N,Y,0.7851,1.0000,4,O, 
24,12,N (N),6,Y,Y,0.9333,0.4736,4,O, 
25,12,N (N),6,N,Y,0.7500,0.8881,4,O, 
26,12,N (N),6,N,Y,0.5714,0.9722,3,X, 
27,12,N (N),6,N,Y,0.5357,0.8611,3,X, 
28,11,N (N),6,N,Y,0.7063,1.0000,3,X, 
29,11,N (N),6,N,Y,0.4484,1.0000,2,X, 
30,11,N (N),5,N,Y,0.5222,0.6842,3,X, 
31,10,N (N),6,N,Y,0.9111,1.0000,4,X, 
32,10,N (N),6,N,Y,0.6821,1.0000,3,X, 
33,10,N (N),6,N,Y,0.4563,1.0000,2,X, 
34,10,N (N),6,N,Y,0.4325,1.0000,2,X, 
35,10,N (N),5,Y,Y,1.0000,1.0000,4,X, 
36,8,N (N),6,N,Y,0.6148,0.7222,3,X, 
37,5,N (N),6,N,Y,0.6428,1.0000,3,X, 
38,5,N (N),6,N,Y,0.5833,1.0000,3,X, 
39,4,N (N),6,N,Y,0.8253,1.0000,4,X, 
40,4,N (N),6,N,Y,0.6944,0.8611,4,X, 
41,4,N (N),6,N,Y,0.6349,0.8333,3,X, 
42,3,N (N),6,Y,Y,0.9841,1.0000,4,X, 
43,3,N (N),6,Y,Y,0.8809,0.6666,4,X, 
44,3,N (N),6,N,Y,0.6825,1.0000,4,X, 
45,2,N (N),6,N,Y,0.7380,1.0000,3,X, 
46,1,N (N),6,Y,Y,0.9925,0.9473,4,X, 
47,1,N (N),6,Y,Y,0.8888,1.0000,4,X, 
48,1,N (N),6,N,Y,0.8968,1.0000,4,X, 
49,1,N (N),6,N,Y,0.7936,0.8611,3,X, 
50,1,N (N),6,N,Y,0.5481,0.8684,3,X, 
51,1,N (N),5,Y,Y,0.8571,1.0000,4,X, 
