순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),4,Y,Y,0.9920,1.0000,4,O, 
1,36,N (N),4,Y,Y,0.9920,1.0000,4,O, 
2,35,N (N),2,Y,Y,1.0000,0.2777,4,O, 
3,21,N (N),6,N,Y,0.8174,0.8333,4,O, 
4,16,N (N),5,N,Y,0.7857,1.0000,4,O, 
5,15,N (N),6,N,Y,0.6746,1.0000,3,O, 
6,12,N (N),6,N,Y,0.8740,1.0000,4,O, 
7,12,N (N),6,N,Y,0.8592,1.0000,4,O, 
8,12,N (N),6,N,Y,0.8357,1.0000,4,O, 
9,12,N (N),6,N,Y,0.3095,1.0000,2,O, 
10,10,N (N),6,N,Y,0.5407,0.6578,3,O, 
11,6,N (N),6,N,Y,0.7629,1.0000,4,O, 
12,6,N (N),6,N,Y,0.2936,1.0000,2,O, 
13,6,N (N),6,N,Y,0.2817,1.0000,2,O, 
14,6,N (N),6,N,Y,0.2420,0.9444,2,O, 
15,5,N (N),6,Y,Y,0.9365,0.7222,4,O, 
16,5,N (N),6,N,Y,0.9365,1.0000,4,O, 
17,5,N (N),6,N,Y,0.4365,0.9166,2,O, 
18,4,N (N),6,Y,Y,0.9333,1.0000,4,O, 
19,3,N (N),6,Y,Y,0.9546,0.9473,4,O, 
20,3,N (N),6,N,Y,0.6746,0.6666,3,O, 
21,3,N (N),6,N,Y,0.6592,1.0000,3,O, 
22,3,N (N),6,N,Y,0.6370,1.0000,3,O, 
23,3,N (N),6,N,Y,0.5476,0.8611,3,O, 
24,3,N (N),6,N,Y,0.2962,1.0000,2,O, 
25,2,N (N),6,N,Y,0.7407,0.7894,4,O, 
26,2,N (N),6,N,Y,0.4960,0.8611,2,O, 
27,2,N (N),6,N,Y,0.2857,0.9444,2,O, 
28,2,N (N),5,N,Y,0.4777,1.0000,2,O, 
29,1,N (N),6,N,Y,1.0000,0.5000,4,X, 
30,1,N (N),6,N,Y,0.8392,0.8333,4,X, 
31,1,N (N),6,N,Y,0.2888,1.0000,2,X, 
