순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),5,N,Y,0.7037,0.8888,3,O, 
1,36,N (N),5,N,Y,0.7037,0.8888,3,O, 
2,34,N (N),6,Y,Y,1.0000,1.0000,4,O, 
3,30,N (N),6,Y,Y,0.8814,0.8947,4,O, 
4,27,N (N),6,N,Y,0.7460,1.0000,3,O, 
5,27,N (N),3,Y,Y,1.0000,0.7222,4,O, 
6,25,N (N),6,Y,Y,0.9111,0.9473,4,O, 
7,25,N (N),6,Y,Y,0.8888,0.7894,4,O, 
8,24,N (N),5,Y,Y,0.8809,0.5000,4,O,* 
9,21,N (N),6,Y,Y,0.9185,0.9473,4,O, 
10,20,N (N),6,Y,Y,0.8814,0.7894,4,O, 
11,20,N (N),6,N,Y,0.8968,0.8333,4,O, 
12,20,N (N),6,N,Y,0.7222,1.0000,3,O, 
13,20,N (N),6,N,Y,0.4518,0.6578,3,O, 
14,20,N (N),5,Y,Y,1.0000,1.0000,4,O, 
15,19,N (N),5,N,Y,0.6587,0.8333,3,O, 
16,18,N (N),4,N,Y,0.9206,1.0000,4,O, 
17,17,N (N),6,Y,Y,0.9047,0.7222,4,O, 
18,17,N (N),6,N,Y,0.6150,1.0000,3,O, 
19,17,N (N),6,N,Y,0.4563,1.0000,2,O, 
20,17,N (N),6,N,Y,0.4325,1.0000,2,O, 
21,16,N (N),6,N,Y,0.6984,1.0000,4,O, 
22,16,N (N),5,Y,Y,0.9126,1.0000,4,O, 
23,15,N (N),6,N,Y,0.9185,1.0000,4,O, 
24,15,N (N),6,N,Y,0.7629,0.7894,4,O, 
25,15,N (N),6,N,Y,0.7555,0.9736,4,O, 
26,15,N (N),4,Y,Y,0.9047,1.0000,4,O, 
27,15,N (N),4,N,Y,0.4484,1.0000,2,O, 
28,14,N (N),6,Y,Y,0.9214,1.0000,4,O, 
29,14,N (N),6,N,Y,0.8571,0.8888,4,O, 
30,14,N (N),6,N,Y,0.7555,1.0000,4,O, 
31,14,N (N),6,N,Y,0.6706,0.8333,3,O, 
32,14,N (N),6,N,Y,0.6468,1.0000,3,O, 
33,12,N (N),6,Y,N,0.8740,0.8947,4,O, 
34,12,N (N),6,N,Y,0.7777,1.0000,4,O, 
35,12,N (N),6,N,Y,0.7703,1.0000,4,O, 
36,12,N (N),6,N,Y,0.6507,1.0000,3,O, 
37,12,N (N),6,N,Y,0.6507,1.0000,3,O, 
38,12,N (N),6,N,Y,0.6269,0.8333,3,O, 
39,12,N (N),6,N,Y,0.5666,0.7894,3,O, 
40,12,N (N),6,N,Y,0.4642,1.0000,2,X, 
41,11,N (N),6,Y,Y,0.8888,0.8333,4,X, 
42,11,N (N),6,N,Y,0.8888,0.8333,4,X, 
43,10,N (N),6,Y,Y,1.0000,0.9473,4,X, 
44,10,N (N),6,Y,Y,0.8296,0.7894,4,X, 
45,10,N (N),6,N,Y,0.6629,0.8333,3,X, 
46,10,N (N),6,N,Y,0.5370,0.9736,3,X, 
47,10,N (N),6,N,Y,0.4841,1.0000,3,X, 
48,10,N (N),5,Y,Y,0.8888,0.8333,4,X, 
49,10,N (N),5,N,Y,0.6944,1.0000,3,X, 
50,8,N (N),6,N,Y,0.6984,1.0000,3,X, 
51,8,N (N),6,N,Y,0.5634,0.8055,3,X, 
52,7,N (N),6,N,Y,0.7777,0.8333,4,X, 
53,7,N (N),5,N,Y,0.6428,1.0000,3,X, 
54,6,N (N),6,Y,Y,0.9761,0.8333,4,X, 
55,6,N (N),6,N,Y,0.4404,1.0000,2,X, 
56,6,N (N),6,N,Y,0.3518,0.9736,2,X, 
57,6,N (N),6,N,Y,0.2814,0.8421,2,X, 
58,1,N (N),6,N,Y,0.4246,1.0000,2,X, 
59,1,N (N),6,N,Y,0.4166,1.0000,2,X, 
60,1,N (N),6,N,Y,0.3253,0.7777,2,X, 
0,12,N (N),5,N,Y,0.6587,1.0000,3,O,* 
