순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,N (N),6,N,Y,0.7698,0.8333,4,O, 
1,12,N (N),6,N,Y,0.7698,0.8333,4,O, 
2,11,N (N),5,Y,Y,0.9761,0.8333,4,O, 
3,8,N (N),6,N,Y,0.8333,0.8333,4,O, 
4,7,N (N),6,Y,Y,0.7857,1.0000,4,O, 
5,5,N (N),6,N,Y,0.6768,0.9473,4,O, 
6,4,N (N),6,Y,Y,0.8492,0.8333,4,O, 
7,3,N (N),6,N,Y,0.7142,0.8333,3,O, 
8,2,N (N),6,Y,Y,0.9000,0.9473,4,O, 
9,1,N (N),6,Y,Y,0.8650,1.0000,4,O, 
10,1,N (N),6,N,Y,0.7222,1.0000,3,O, 
11,1,N (N),6,N,Y,0.6259,0.8157,3,O, 
12,1,N (N),6,N,Y,0.5357,0.9736,3,O, 
13,1,N (N),6,N,Y,0.3851,1.0000,2,O, 
14,1,N (N),6,N,Y,0.3750,0.8157,2,O, 
