순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,25,N (N),5,N,Y,0.5000,0.9375,3,O, 
1,25,N (N),5,N,Y,0.5000,0.9375,3,O, 
2,15,N (N),5,N,Y,0.5000,0.9375,3,O, 
3,10,N (N),6,N,N,0.9206,1.0000,4,O, 
4,8,N (N),6,N,Y,0.8928,1.0000,4,O, 
5,7,N (N),6,N,Y,0.7658,0.9166,4,O, 
6,6,N (N),6,N,Y,0.7214,1.0000,4,O, 
7,6,N (N),6,N,Y,0.7037,1.0000,3,O, 
8,3,N (N),6,N,Y,0.6666,1.0000,3,O, 
9,2,N (N),6,N,Y,0.8740,1.0000,4,O, 
10,2,N (N),6,N,Y,0.6507,1.0000,3,O, 
11,1,N (N),6,N,Y,0.7481,0.7222,4,O, 
12,1,N (N),6,N,Y,0.7103,0.9166,3,O, 
13,1,N (N),6,N,Y,0.6666,1.0000,3,O, 
14,1,N (N),6,N,Y,0.6428,1.0000,3,O, 
15,1,N (N),6,N,Y,0.5674,0.6944,3,O, 
16,1,N (N),6,N,Y,0.3492,1.0000,2,O, 
17,1,N (N),6,N,Y,0.3095,1.0000,2,O, 
18,1,N (N),6,N,Y,0.3015,1.0000,2,O, 
