순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,1.0000,0.0526,4,O, 
1,36,N (N),6,Y,Y,1.0000,0.0526,4,O, 
2,36,N (N),6,Y,Y,0.9761,0.7222,4,O, 
3,36,N (N),6,Y,Y,0.9682,1.0000,4,O, 
4,36,N (N),6,Y,Y,0.9214,0.4736,4,O, 
5,36,N (N),6,Y,Y,0.9126,0.5000,4,O, 
6,36,N (N),6,Y,Y,0.9047,0.3333,4,O, 
7,36,N (N),6,Y,N,1.0000,0.0000,4,O, 
8,36,N (N),6,N,Y,0.9111,0.7894,4,O, 
9,36,N (N),6,N,Y,0.8253,0.6666,4,O, 
10,36,N (N),6,N,Y,0.8222,0.7894,4,O, 
11,36,N (N),6,N,Y,0.8000,0.7894,4,O, 
12,36,N (N),6,N,Y,0.6507,0.9444,3,O, 
13,36,N (N),5,Y,Y,0.9407,0.9473,4,O, 
14,36,N (N),5,Y,Y,0.9126,1.0000,4,O, 
15,36,N (N),3,Y,Y,0.9571,0.9473,4,O, 
16,36,N (N),2,Y,Y,1.0000,0.7222,4,O, 
17,36,N (N),1,Y,Y,1.0000,0.7368,4,O, 
18,35,N (N),6,Y,Y,0.9555,0.4736,4,O, 
19,35,N (N),3,N,Y,0.5555,0.8421,3,O, 
20,35,N (N),2,Y,Y,1.0000,0.6666,4,O, 
21,34,N (N),6,Y,Y,1.0000,0.0000,4,O, 
22,33,N (N),6,N,Y,1.0000,0.6666,4,O, 
23,33,N (N),6,N,Y,0.4928,0.9736,3,O, 
24,32,N (N),6,Y,Y,1.0000,1.0000,4,O, 
25,32,N (N),6,Y,Y,1.0000,0.5000,4,O, 
26,30,N (N),6,N,Y,0.7925,0.7894,4,O, 
27,30,N (N),6,N,Y,0.5481,0.8421,3,O, 
28,29,N (N),6,Y,Y,0.9142,0.7894,4,O, 
29,27,N (N),6,Y,Y,0.8785,0.9473,4,O, 
30,25,N (N),5,Y,Y,0.9037,1.0000,4,O, 
31,24,N (N),6,N,Y,0.8361,0.9473,4,O, 
32,23,N (N),6,N,Y,0.4166,1.0000,2,O, 
33,22,N (N),6,Y,Y,0.9761,0.8333,4,O, 
34,22,N (N),6,Y,Y,0.8592,0.6842,4,O, 
35,22,N (N),5,Y,Y,1.0000,1.0000,4,O, 
36,22,N (N),5,Y,Y,0.9841,1.0000,4,O, 
37,22,N (N),5,Y,Y,0.8962,1.0000,4,O, 
38,22,N (N),3,Y,Y,0.8444,0.7894,4,O, 
39,20,N (N),6,Y,Y,0.9357,0.9473,4,O, 
40,20,N (N),6,Y,Y,0.9345,1.0000,4,O, 
41,20,N (N),6,Y,Y,0.9214,0.9473,4,O, 
42,20,N (N),6,Y,Y,0.9185,0.4736,4,O, 
