순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,N (N),6,N,Y,0.7777,0.7894,4,O, 
1,15,N (N),6,N,Y,0.7777,0.7894,4,O, 
2,11,Y (Y),6,N,Y,0.8928,0.7894,4,O, 
3,10,N (N),5,N,Y,0.9629,0.7894,4,O, 
4,7,N (N),6,N,Y,0.5158,0.6666,3,O, 
5,6,N (N),6,N,Y,0.7936,1.0000,4,O, 
6,5,N (N),6,N,Y,0.7629,0.9473,4,O, 
7,5,N (N),6,N,Y,0.7428,1.0000,4,O, 
8,5,N (N),6,N,Y,0.6507,0.9444,3,O, 
9,3,N (N),6,Y,Y,0.8253,0.0000,4,O, 
10,3,N (N),6,N,Y,0.5238,0.9444,3,O, 
11,1,Y (Y),6,N,Y,0.9047,1.0000,4,O, 
12,1,Y (Y),6,N,Y,0.8296,1.0000,4,O, 
13,1,Y (Y),5,N,Y,0.4370,0.6842,3,O, 
14,1,N (N),6,Y,Y,0.9126,1.0000,4,O, 
15,1,N (N),6,N,Y,0.8492,1.0000,4,O, 
16,1,N (N),6,N,Y,0.6349,0.8611,4,O, 
17,1,N (N),6,N,Y,0.3730,0.8888,2,O, 
18,1,N (N),6,N,Y,0.3690,1.0000,2,O, 
19,1,N (N),5,Y,Y,0.9126,1.0000,4,O, 
