순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.8730,0.5000,4,O, 
1,36,N (N),6,Y,Y,0.8730,0.5000,4,O, 
2,36,N (N),3,Y,Y,0.9777,0.6315,4,O, 
3,21,N (N),5,N,Y,0.8174,1.0000,3,O, 
4,17,N (N),6,N,Y,0.4629,0.8157,3,O, 
5,15,N (N),6,N,Y,0.9392,0.7894,4,O, 
6,15,N (N),6,N,Y,0.8174,1.0000,4,O, 
7,15,N (N),6,N,Y,0.7555,0.9736,4,O, 
8,15,N (N),6,N,Y,0.6746,1.0000,3,O, 
9,15,N (N),5,N,Y,0.8650,0.8333,4,O, 
10,13,N (N),6,N,Y,0.6888,0.9473,3,O, 
11,12,N (N),6,Y,Y,0.9761,0.6666,4,O, 
12,12,N (N),6,Y,Y,0.9047,0.8333,4,O, 
13,11,N (N),6,Y,Y,0.9126,0.8333,4,O, 
14,11,N (N),6,N,Y,0.8814,0.8333,4,O, 
15,10,N (N),6,N,Y,0.9092,0.9473,4,O, 
16,10,N (N),6,N,Y,0.7063,0.8333,3,O, 
17,10,N (N),6,N,Y,0.6825,0.8333,3,O, 
18,10,N (N),6,N,Y,0.4325,0.8611,2,O, 
19,8,N (N),6,N,Y,0.4087,0.8611,2,O, 
20,6,N (N),6,Y,Y,0.9285,0.8333,4,O, 
21,5,N (N),6,N,Y,0.8138,0.8684,4,O, 
22,5,N (N),6,N,Y,0.7460,1.0000,4,O, 
23,5,N (N),6,N,Y,0.6074,0.8157,3,O, 
24,5,N (N),6,N,Y,0.4126,0.6666,2,O, 
25,5,N (N),5,Y,Y,0.9365,0.6666,4,O, 
26,3,N (N),6,N,Y,0.7261,1.0000,3,O, 
27,2,N (N),6,N,Y,0.8888,1.0000,4,O, 
28,2,N (N),6,N,Y,0.8571,0.8888,4,O, 
29,2,N (N),6,N,Y,0.7460,0.6666,4,O, 
30,2,N (N),6,N,Y,0.6349,0.6666,3,O, 
31,2,N (N),6,N,Y,0.3296,0.9736,2,O, 
32,2,N (N),5,N,Y,0.4087,0.9166,2,O, 
33,1,N (N),6,Y,Y,0.9214,1.0000,4,O, 
34,1,N (N),6,Y,Y,0.8592,1.0000,4,O, 
35,1,N (N),6,N,Y,0.8740,0.8421,4,O, 
36,1,N (N),6,N,Y,0.7460,0.8333,4,O, 
37,1,N (N),6,N,Y,0.4603,1.0000,2,O, 
