순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,1.0000,0.9444,4,O, 
1,36,N (N),6,Y,Y,1.0000,0.9444,4,O, 
2,36,N (N),5,Y,Y,1.0000,0.9473,4,O, 
3,36,N (N),5,N,Y,0.7777,0.8333,4,O, 
4,36,N (N),1,Y,Y,1.0000,0.1666,4,O, 
5,36,N (N),1,Y,Y,1.0000,0.0000,4,O, 
6,28,N (N),6,N,Y,0.2888,1.0000,2,O, 
7,25,N (N),6,Y,Y,1.0000,1.0000,4,O, 
8,20,N (N),6,Y,Y,1.0000,1.0000,4,O, 
9,16,N (N),6,N,Y,0.5370,0.9736,3,O, 
10,14,N (N),6,N,Y,0.7481,0.9473,4,O, 
11,10,N (N),6,Y,Y,0.9148,0.7894,4,O, 
12,10,N (N),6,N,Y,0.9365,1.0000,4,O, 
13,9,N (N),6,N,Y,0.7037,0.8611,3,O, 
14,8,N (N),6,N,Y,0.5714,1.0000,3,O, 
15,5,N (N),6,Y,Y,0.9841,0.8333,4,O, 
16,3,N (N),6,N,Y,0.8222,0.6944,4,O, 
17,3,N (N),6,N,Y,0.4722,1.0000,3,O, 
18,2,N (N),6,N,Y,0.7698,1.0000,3,O, 
19,1,N (N),6,N,Y,0.9047,1.0000,4,O, 
20,1,N (N),6,N,Y,0.8809,1.0000,4,O, 
21,1,N (N),6,N,Y,0.8444,0.6315,4,O, 
22,1,N (N),6,N,Y,0.6825,1.0000,3,O, 
23,1,N (N),6,N,Y,0.3253,1.0000,2,O, 
