순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),5,N,N,0.5555,0.7500,3,O, 
1,36,N (N),5,N,N,0.5555,0.7500,3,O, 
2,35,N (N),2,N,N,0.9857,0.4736,4,O, 
3,30,N (N),6,Y,Y,0.9357,1.0000,4,O, 
4,19,N (N),4,Y,N,0.9325,0.3333,4,O, 
5,17,N (N),6,N,Y,0.5436,1.0000,3,O, 
6,14,N (N),6,N,Y,0.7142,1.0000,3,O, 
7,8,N (N),6,Y,N,1.0000,0.5000,4,O, 
8,6,N (N),5,Y,Y,1.0000,0.9166,4,O, 
9,1,N (N),6,N,Y,0.6714,0.8157,4,O, 
10,1,N (N),6,N,Y,0.6571,0.9473,4,O, 
11,1,N (N),6,N,Y,0.6392,0.9473,3,O, 
12,1,N (N),5,N,Y,0.3769,1.0000,2,O, 
