순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,N,1.0000,1.0000,4,O, 
1,36,N (N),6,Y,N,1.0000,1.0000,4,O, 
2,36,N (N),6,Y,N,1.0000,1.0000,4,O, 
3,36,N (N),6,Y,N,1.0000,0.6666,4,O, 
4,36,N (N),6,N,Y,0.8531,1.0000,4,O, 
5,36,N (N),6,N,N,0.9111,0.7894,4,X, 
6,36,N (N),6,N,N,0.8730,1.0000,4,X, 
7,36,N (N),6,N,N,0.8037,0.9473,4,X, 
8,36,N (N),6,N,N,0.7698,1.0000,4,X, 
9,36,N (N),6,N,N,0.7380,1.0000,4,X, 
10,36,N (N),6,N,N,0.6666,1.0000,3,X, 
11,36,N (N),6,N,N,0.6148,0.9736,3,X, 
12,36,N (N),6,N,N,0.5259,0.9736,3,X, 
13,36,N (N),6,N,N,0.4925,1.0000,2,X, 
14,36,N (N),6,N,N,0.4761,1.0000,2,X, 
15,11,N (N),5,Y,N,0.9523,1.0000,4,X, 
16,8,N (N),6,N,N,0.6190,1.0000,3,X, 
