순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,2,N (N),6,N,Y,0.5785,0.9736,3,O, 
1,2,N (N),6,N,Y,0.5785,0.9736,3,O, 
2,2,N (N),6,N,Y,0.5571,1.0000,3,O, 
3,1,N (N),6,N,Y,0.7619,1.0000,4,O, 
4,1,N (N),6,N,Y,0.6507,1.0000,3,O, 
5,1,N (N),6,N,Y,0.6148,0.8684,3,O, 
6,1,N (N),6,N,Y,0.5873,1.0000,3,O, 
7,1,N (N),6,N,Y,0.5678,0.9473,3,O, 
8,1,N (N),6,N,Y,0.5629,0.8684,3,O, 
9,1,N (N),6,N,Y,0.5428,0.9736,3,O, 
10,1,N (N),6,N,Y,0.5396,0.9722,3,O, 
11,1,N (N),6,N,Y,0.5396,0.8611,3,O, 
12,1,N (N),6,N,Y,0.5357,1.0000,3,O, 
13,1,N (N),6,N,Y,0.5321,1.0000,3,O, 
14,1,N (N),6,N,Y,0.5317,0.8611,3,O, 
15,1,N (N),6,N,Y,0.5259,0.9736,3,O, 
16,1,N (N),6,N,Y,0.5178,0.9736,3,O, 
17,1,N (N),6,N,Y,0.4925,0.9736,3,O, 
18,1,N (N),6,N,Y,0.4801,0.8333,3,O, 
19,1,N (N),6,N,Y,0.4722,0.8333,3,O, 
20,1,N (N),6,N,Y,0.4607,0.8684,3,O, 
21,1,N (N),6,N,Y,0.4603,1.0000,3,O, 
