순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,N (N),6,N,Y,0.6428,0.5277,3,O, 
1,35,N (N),6,N,Y,0.6428,0.5277,3,O, 
2,25,N (N),6,Y,Y,1.0000,1.0000,4,O, 
3,21,N (N),6,Y,Y,0.9047,0.9444,4,O, 
4,20,N (N),6,Y,Y,1.0000,1.0000,4,O, 
5,20,N (N),6,N,Y,0.4325,1.0000,2,O, 
6,18,N (N),6,N,Y,0.4246,0.9722,2,O, 
7,17,N (N),6,Y,Y,0.9206,0.7777,4,O, 
8,15,N (N),6,N,Y,0.6904,1.0000,3,O, 
9,15,N (N),6,N,Y,0.6785,0.9166,3,O, 
10,13,N (N),6,Y,Y,1.0000,1.0000,4,O, 
11,12,N (N),5,Y,Y,1.0000,0.8888,4,O, 
12,10,N (N),6,N,Y,0.9722,1.0000,4,O, 
13,10,N (N),6,N,Y,0.4404,0.9166,2,O, 
14,8,N (N),6,N,Y,0.5952,1.0000,3,O, 
15,6,N (N),6,N,Y,0.7925,1.0000,4,O, 
16,6,N (N),6,N,Y,0.7103,1.0000,3,O, 
17,6,N (N),6,N,Y,0.7063,1.0000,3,O, 
18,6,N (N),6,N,Y,0.6825,1.0000,3,O, 
19,6,N (N),6,N,Y,0.5259,0.7631,3,O, 
20,5,N (N),6,N,Y,0.7990,0.9473,4,O, 
21,5,N (N),6,N,Y,0.5714,1.0000,3,O, 
22,5,N (N),6,N,Y,0.4285,0.9444,2,O, 
23,5,N (N),6,N,Y,0.4087,1.0000,2,O, 
24,3,N (N),6,N,Y,0.6587,1.0000,3,O, 
25,1,N (N),4,Y,Y,1.0000,0.6842,4,O, 
0,8,N (N),6,N,Y,0.7301,1.0000,3,O,* 
