순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,N (N),5,N,Y,0.7105,1.0000,2,O, 
1,24,N (N),5,N,Y,0.7105,1.0000,2,O, 
2,21,N (N),3,N,Y,0.6315,1.0000,2,O, 
3,20,N (N),6,N,Y,0.7105,1.0000,2,O, 
4,19,N (N),6,N,Y,0.6710,1.0000,2,O, 
5,18,N (N),6,N,Y,0.6710,1.0000,2,O, 
6,18,N (N),6,N,Y,0.6447,1.0000,2,O, 
7,15,N (N),6,N,Y,0.7105,1.0000,2,O, 
8,15,N (N),5,N,Y,0.6052,0.9166,2,O, 
9,13,N (N),6,N,Y,0.6644,0.9791,2,O, 
10,13,N (N),5,N,Y,0.6315,0.8750,2,O, 
11,12,N (N),6,N,Y,0.6710,1.0000,2,O, 
12,12,N (N),6,N,Y,0.6710,1.0000,2,O, 
13,11,N (N),6,N,Y,0.6710,1.0000,2,O, 
14,11,N (N),6,N,Y,0.5921,0.7500,2,O, 
15,10,N (N),6,N,Y,0.6842,1.0000,2,O, 
16,10,N (N),6,N,Y,0.6710,1.0000,2,O, 
17,10,N (N),6,N,Y,0.6710,1.0000,2,O, 
18,10,N (N),6,N,Y,0.6710,1.0000,2,O, 
19,10,N (N),6,N,Y,0.6315,1.0000,2,O, 
20,10,N (N),6,N,Y,0.6315,1.0000,2,O, 
21,10,N (N),6,N,Y,0.6315,0.8750,2,O, 
22,10,N (N),6,N,Y,0.5921,0.8750,2,O, 
23,10,N (N),6,N,Y,0.5921,0.8750,2,O, 
24,9,N (N),6,N,Y,0.7105,1.0000,2,O, 
25,9,N (N),6,N,Y,0.6710,0.8750,2,O, 
26,9,N (N),6,N,Y,0.6315,1.0000,2,O, 
27,9,N (N),6,N,Y,0.6250,1.0000,2,O, 
28,9,N (N),6,N,Y,0.5921,1.0000,2,O, 
29,9,N (N),6,N,Y,0.5921,1.0000,2,O, 
30,9,N (N),6,N,Y,0.5921,1.0000,2,O, 
31,8,N (N),6,N,Y,0.6973,1.0000,2,O, 
32,8,N (N),6,N,Y,0.6315,1.0000,2,O, 
33,8,N (N),6,N,Y,0.6315,1.0000,2,O, 
34,8,N (N),6,N,Y,0.6315,1.0000,2,O, 
35,8,N (N),6,N,Y,0.6250,0.9791,2,O, 
36,8,N (N),6,N,Y,0.6250,0.8750,2,O, 
37,8,N (N),6,N,Y,0.5921,0.8541,2,O, 
38,7,N (N),6,N,Y,0.6710,1.0000,2,O, 
39,7,N (N),6,N,Y,0.6315,1.0000,2,O, 
40,7,N (N),6,N,Y,0.6315,1.0000,2,O, 
41,7,N (N),6,N,Y,0.6315,1.0000,2,O, 
42,6,N (N),6,N,Y,0.7171,1.0000,2,O, 
43,6,N (N),6,N,Y,0.6315,1.0000,2,O, 
44,6,N (N),6,N,Y,0.6315,1.0000,2,O, 
45,6,N (N),6,N,Y,0.5921,0.8750,2,O, 
46,6,N (N),5,N,Y,0.5657,0.7916,2,O, 
47,5,N (N),6,N,Y,0.6710,1.0000,2,O, 
48,5,N (N),6,N,Y,0.6315,0.8750,2,O, 
49,5,N (N),6,N,Y,0.5921,0.8750,2,O, 
50,5,N (N),6,N,Y,0.5921,0.8750,2,O, 
51,5,N (N),6,N,Y,0.5921,0.8750,2,X, 
52,5,N (N),5,N,Y,0.7631,1.0000,2,X, 
53,4,N (N),6,N,Y,0.5921,0.8750,2,X, 
54,3,N (N),6,N,Y,0.4736,0.6250,2,X, 
55,2,N (N),6,N,Y,0.6315,1.0000,2,X, 
56,1,N (N),6,N,Y,0.5789,0.8541,2,X, 
