순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,20,N (N),6,N,Y,0.5921,0.8750,2,O, 
1,20,N (N),6,N,Y,0.5921,0.8750,2,O, 
2,15,N (N),6,N,Y,0.5526,0.7500,2,O, 
3,10,N (N),6,N,Y,0.6315,1.0000,2,O, 
4,10,N (N),6,N,Y,0.6315,1.0000,2,O, 
5,10,N (N),6,N,Y,0.5789,0.8333,2,O, 
6,8,N (N),6,N,Y,0.5921,0.8750,2,O, 
7,6,N (N),6,N,Y,0.5526,0.7500,2,O, 
8,5,N (N),6,N,Y,0.5526,0.8750,2,O, 
9,3,N (N),6,N,Y,0.6447,0.8750,2,O, 
10,3,N (N),6,N,Y,0.6315,1.0000,2,O, 
11,3,N (N),6,N,Y,0.5921,0.8750,2,O, 
12,3,N (N),6,N,Y,0.5921,0.8750,2,O, 
13,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
14,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
15,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
16,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
17,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
18,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
19,1,N (N),6,N,Y,0.6052,0.8750,2,O, 
20,1,N (N),6,N,Y,0.6052,0.8750,2,O, 
21,1,N (N),6,N,Y,0.6052,0.8750,2,O, 
22,1,N (N),6,N,Y,0.5921,1.0000,2,O, 
23,1,N (N),6,N,Y,0.5921,1.0000,2,O, 
24,1,N (N),6,N,Y,0.5921,1.0000,2,O, 
25,1,N (N),6,N,Y,0.5921,0.9583,2,O, 
26,1,N (N),6,N,Y,0.5921,0.9583,2,O, 
27,1,N (N),6,N,Y,0.5921,0.8750,2,O, 
28,1,N (N),6,N,Y,0.5921,0.8750,2,O, 
29,1,N (N),6,N,Y,0.5921,0.8750,2,O, 
30,1,N (N),6,N,Y,0.5921,0.8750,2,O, 
31,1,N (N),6,N,Y,0.5921,0.8750,2,O, 
32,1,N (N),6,N,Y,0.5921,0.8750,2,O, 
33,1,N (N),6,N,Y,0.5921,0.8333,2,O, 
34,1,N (N),6,N,Y,0.5921,0.8333,2,O, 
35,1,N (N),6,N,Y,0.5921,0.8333,2,O, 
36,1,N (N),6,N,Y,0.5789,0.8333,2,O, 
37,1,N (N),6,N,Y,0.5789,0.8333,2,O, 
38,1,N (N),6,N,Y,0.5657,0.8750,2,O, 
39,1,N (N),6,N,Y,0.5592,0.7916,2,O, 
40,1,N (N),6,N,Y,0.5526,0.8750,2,O, 
41,1,N (N),6,N,Y,0.5526,0.8750,2,O, 
42,1,N (N),6,N,Y,0.5526,0.8750,2,O, 
43,1,N (N),6,N,Y,0.5526,0.8333,2,O, 
44,1,N (N),6,N,Y,0.5526,0.7500,2,O, 
45,1,N (N),6,N,Y,0.5460,0.8750,2,O, 
46,1,N (N),6,N,Y,0.5394,0.8750,2,O, 
47,1,N (N),6,N,Y,0.5394,0.8333,2,O, 
48,1,N (N),6,N,Y,0.5263,0.8750,2,O, 
49,1,N (N),6,N,Y,0.5263,0.6250,2,O, 
50,1,N (N),6,N,Y,0.5131,0.8750,2,O, 
51,1,N (N),6,N,Y,0.5131,0.7916,2,O, 
52,1,N (N),6,N,Y,0.5131,0.7500,2,O, 
53,1,N (N),6,N,Y,0.5131,0.7500,2,O, 
54,1,N (N),6,N,Y,0.5131,0.7500,2,O, 
55,1,N (N),6,N,Y,0.5000,0.7083,2,O, 
56,1,N (N),6,N,Y,0.4802,0.8333,2,O, 
57,1,N (N),6,N,Y,0.4802,0.7083,2,O, 
58,1,N (N),5,N,Y,0.6315,1.0000,2,O, 
