순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,N (N),6,N,Y,0.8809,0.9444,4,O, 
1,12,N (N),6,N,Y,0.8809,0.9444,4,O, 
2,6,N (N),6,N,Y,0.3095,1.0000,2,O, 
3,5,N (N),6,Y,Y,0.8814,0.7368,4,O, 
4,4,N (N),6,N,Y,0.6587,0.8333,3,O, 
5,3,N (N),6,N,Y,0.3412,0.8333,2,O, 
6,3,N (N),6,N,Y,0.2619,0.8888,2,O, 
7,2,N (N),6,Y,Y,0.8571,1.0000,4,O, 
8,1,N (N),6,N,Y,0.9523,0.8333,4,O, 
9,1,N (N),6,N,Y,0.8428,1.0000,4,O, 
10,1,N (N),6,N,Y,0.7714,0.7894,4,O, 
11,1,N (N),6,N,Y,0.7642,0.7894,4,O, 
12,1,N (N),6,N,Y,0.7301,1.0000,3,O, 
13,1,N (N),6,N,Y,0.6825,0.8888,3,O, 
14,1,N (N),6,N,Y,0.6666,1.0000,3,O, 
15,1,N (N),6,N,Y,0.6507,0.8333,3,O, 
16,1,N (N),6,N,Y,0.6269,1.0000,3,O, 
17,1,N (N),6,N,Y,0.5277,1.0000,2,O, 
18,1,N (N),6,N,Y,0.5158,0.8611,3,O, 
19,1,N (N),6,N,Y,0.4880,1.0000,3,O, 
20,1,N (N),6,N,Y,0.3015,1.0000,2,O, 
0,12,N (N),5,N,Y,0.6925,0.7894,4,O,* 
