순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),5,N,Y,0.5000,0.9375,3,O, 
1,36,N (N),5,N,Y,0.5000,0.9375,3,O, 
2,36,N (N),4,N,Y,0.5000,0.8750,3,O, 
3,35,N (N),3,N,Y,0.5000,0.9375,3,O, 
4,30,N (N),5,N,Y,0.2500,0.9375,2,O, 
5,28,N (N),4,N,Y,0.5000,0.9375,3,O, 
6,27,N (N),4,N,Y,0.5000,0.9375,3,O, 
7,25,N (N),4,N,Y,0.5000,0.9375,3,O, 
8,25,N (N),4,N,Y,0.2500,0.9722,2,O, 
9,25,N (N),3,N,Y,0.5000,0.9375,3,O, 
10,25,N (N),3,N,Y,0.2500,0.8750,2,O, 
11,24,N (N),5,N,Y,0.2500,0.8750,2,O, 
12,24,N (N),5,N,Y,0.2500,0.8750,2,O, 
13,24,N (N),4,N,Y,0.5000,0.9722,3,O, 
14,24,N (N),4,N,Y,0.5000,0.9375,3,O, 
15,24,N (N),3,N,Y,0.5000,0.8750,3,O, 
16,21,N (N),4,N,Y,0.5000,0.8750,3,O, 
17,20,N (N),5,N,Y,0.5000,0.8750,3,O, 
18,20,N (N),4,N,Y,0.5000,0.9722,3,O, 
19,20,N (N),4,N,Y,0.5000,0.8750,3,O, 
20,18,N (N),4,N,Y,0.5000,0.9375,3,O, 
21,17,N (N),5,N,Y,0.5000,0.9375,3,O, 
22,17,N (N),4,N,Y,0.7500,0.8750,4,O, 
23,17,N (N),4,N,Y,0.7500,0.8750,4,O, 
24,16,N (N),5,N,Y,0.5000,0.9375,3,O, 
25,16,N (N),4,N,Y,0.7500,0.8750,4,O, 
26,15,N (N),4,N,Y,0.5000,0.9375,3,O, 
27,15,N (N),4,N,Y,0.5000,0.8750,3,O, 
28,14,N (N),5,N,Y,0.5000,0.9375,3,O, 
29,14,N (N),4,N,Y,0.5000,0.8750,3,X, 
30,10,N (N),5,N,Y,0.7500,0.9375,4,X, 
31,10,N (N),4,N,Y,0.5000,0.9375,3,X, 
32,1,N (N),6,N,Y,0.5000,0.8750,3,X, 
33,1,N (N),6,N,Y,0.5000,0.8750,3,X, 
0,12,N (N),6,N,Y,0.0000,0.7500,3,O,* 
0,12,N (N),6,N,Y,0.0000,0.7500,3,O,* 
