순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,27,N (N),4,N,Y,0.2500,0.8750,2,O, 
1,27,N (N),4,N,Y,0.2500,0.8750,2,O, 
2,24,N (N),2,N,Y,0.7500,1.0000,4,O, 
3,23,N (N),4,N,Y,0.5000,0.9375,3,O, 
4,20,N (N),4,N,Y,0.5000,0.8750,3,O, 
5,20,N (N),4,N,Y,0.5000,0.8750,3,O, 
6,14,N (N),5,N,Y,0.5000,0.8750,3,O, 
7,12,N (N),4,N,Y,0.7500,0.8750,4,O, 
8,12,N (N),3,N,Y,0.2500,0.9375,2,O, 
9,10,N (N),5,N,Y,0.5000,0.9375,3,O, 
10,10,N (N),5,N,Y,0.2500,0.8750,2,O, 
11,8,N (N),5,N,Y,0.5000,0.8750,3,O, 
12,8,N (N),5,N,Y,0.5000,0.8750,3,O, 
13,7,N (N),4,N,Y,0.7500,0.9375,4,O, 
14,7,N (N),4,N,Y,0.5000,0.8750,3,O, 
15,6,N (N),5,N,Y,0.5000,0.9722,3,O, 
16,5,N (N),4,N,Y,0.7500,1.0000,4,O, 
17,5,N (N),4,N,Y,0.7500,0.8750,4,O, 
18,5,N (N),4,N,Y,0.5000,0.8750,3,O, 
19,4,N (N),5,N,Y,0.7500,0.8750,4,O, 
20,4,N (N),5,N,Y,0.5000,0.9722,3,O, 
21,3,N (N),4,N,Y,0.5000,0.9375,3,O, 
22,2,N (N),5,N,Y,0.5000,0.9375,3,O, 
23,2,N (N),4,N,Y,0.7500,0.8750,4,O, 
24,1,N (N),5,N,Y,0.7500,0.9722,4,O, 
25,1,N (N),5,N,Y,0.7500,0.9722,4,O, 
26,1,N (N),5,N,Y,0.7500,0.9722,4,O, 
27,1,N (N),5,N,Y,0.7500,0.8750,4,O, 
28,1,N (N),5,N,Y,0.7500,0.8750,4,O, 
29,1,N (N),5,N,Y,0.5000,0.9375,3,O, 
30,1,N (N),5,N,Y,0.5000,0.8750,3,O, 
31,1,N (N),5,N,Y,0.5000,0.8750,3,O, 
32,1,N (N),5,N,Y,0.5000,0.8750,3,O, 
33,1,N (N),5,N,Y,0.5000,0.8750,3,O, 
34,1,N (N),5,N,Y,0.2500,0.9375,2,O, 
35,1,N (N),5,N,Y,0.2500,0.8750,2,O, 
36,1,N (N),4,N,Y,0.7500,0.8750,4,O, 
37,1,N (N),4,N,Y,0.7500,0.8750,4,O, 
38,1,N (N),4,N,Y,0.7500,0.8750,4,O, 
39,1,N (N),4,N,Y,0.7500,0.8750,4,O, 
40,1,N (N),4,N,Y,0.5000,0.9722,3,O, 
41,1,N (N),4,N,Y,0.5000,0.9722,3,O, 
42,1,N (N),4,N,Y,0.5000,0.9722,3,O, 
43,1,N (N),4,N,Y,0.5000,0.9722,3,O, 
44,1,N (N),4,N,Y,0.5000,0.9722,3,O, 
45,1,N (N),4,N,Y,0.5000,0.9375,3,O, 
46,1,N (N),4,N,Y,0.5000,0.8750,3,O, 
47,1,N (N),4,N,Y,0.5000,0.8750,3,O, 
48,1,N (N),4,N,Y,0.5000,0.8750,3,O, 
49,1,N (N),4,N,Y,0.5000,0.8750,3,O, 
50,1,N (N),4,N,Y,0.2500,0.9722,2,O, 
51,1,N (N),4,N,Y,0.2500,0.9375,2,O, 
52,1,N (N),4,N,Y,0.2500,0.8750,2,O, 
53,1,N (N),3,N,Y,0.7500,0.9722,4,O, 
54,1,N (N),3,N,Y,0.7500,0.9375,4,O, 
55,1,N (N),3,N,Y,0.7500,0.9375,4,O, 
56,1,N (N),3,N,Y,0.7500,0.8750,4,O, 
57,1,N (N),3,N,Y,0.7500,0.8750,4,O, 
58,1,N (N),3,N,Y,0.7500,0.8750,4,O, 
59,1,N (N),3,N,Y,0.7500,0.8750,4,O, 
60,1,N (N),3,N,Y,0.7500,0.8750,4,O, 
61,1,N (N),3,N,Y,0.5000,0.9375,3,O, 
62,1,N (N),3,N,Y,0.5000,0.9375,3,O, 
63,1,N (N),3,N,Y,0.5000,0.9375,3,O, 
64,1,N (N),3,N,Y,0.5000,0.9375,3,O, 
65,1,N (N),3,N,Y,0.5000,0.9375,3,O, 
66,1,N (N),3,N,Y,0.5000,0.8750,3,O, 
67,1,N (N),3,N,Y,0.5000,0.8750,3,O, 
68,1,N (N),3,N,Y,0.5000,0.8750,3,O, 
69,1,N (N),3,N,Y,0.5000,0.8750,3,O, 
70,1,N (N),3,N,Y,0.5000,0.8750,3,O, 
71,1,N (N),3,N,Y,0.2500,0.8750,2,O, 
72,1,N (N),3,N,Y,0.2500,0.8750,2,O, 
73,1,N (N),1,N,Y,0.2500,0.9722,2,O, 
