순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,34,N (N),6,N,Y,0.9047,0.8333,4,O, 
1,34,N (N),6,N,Y,0.9047,0.8333,4,O, 
2,30,N (N),6,N,Y,0.6447,0.9583,2,O, 
3,18,N (N),4,Y,Y,0.9126,1.0000,4,O, 
4,3,N (N),6,N,Y,0.5992,1.0000,3,O, 
5,3,N (N),5,N,Y,0.8500,0.7894,4,O, 
6,2,N (N),6,Y,Y,0.8928,0.7894,4,O, 
7,2,N (N),6,N,Y,0.2814,0.9736,2,O, 
8,1,N (N),6,Y,Y,0.9325,0.6666,4,O, 
9,1,N (N),6,N,Y,0.5642,0.9736,3,O, 
10,1,N (N),6,N,Y,0.5629,0.9736,3,O, 
11,1,N (N),6,N,Y,0.5119,1.0000,2,O, 
12,1,N (N),6,N,Y,0.4962,0.8157,3,O, 
13,1,N (N),6,N,Y,0.3571,1.0000,2,O, 
14,1,N (N),6,N,Y,0.3412,1.0000,2,O, 
15,1,N (N),6,N,Y,0.3095,1.0000,2,O, 
16,1,N (N),6,N,Y,0.3015,1.0000,2,O, 
