순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,N (N),6,N,N,0.6481,0.9473,3,O,* 
1,12,N (N),6,N,N,0.6481,0.9473,3,O,* 
2,12,Y (Y),6,Y,N,0.9444,0.8333,4,O, 
3,12,Y (Y),6,N,Y,0.8412,0.8333,4,O, 
4,12,Y (Y),6,N,Y,0.7518,0.9473,4,O, 
5,12,Y (Y),6,N,Y,0.7037,0.8333,3,O, 
6,12,Y (Y),6,N,Y,0.7023,1.0000,3,O, 
7,12,Y (Y),6,N,Y,0.6706,0.8333,3,O, 
8,12,Y (Y),6,N,Y,0.6666,0.9473,3,O, 
9,12,Y (Y),6,N,Y,0.6629,0.9736,3,O, 
10,12,Y (Y),6,N,Y,0.6555,1.0000,3,O, 
11,12,Y (Y),6,N,Y,0.6468,1.0000,3,O, 
12,12,Y (Y),6,N,Y,0.5317,1.0000,3,O, 
13,12,Y (Y),6,N,Y,0.4777,0.7105,3,O, 
14,12,Y (Y),6,N,Y,0.4563,0.8611,2,O, 
15,12,Y (Y),6,N,Y,0.4222,1.0000,2,O, 
16,12,Y (Y),6,N,Y,0.4087,0.9166,2,O, 
17,12,Y (Y),6,N,Y,0.4087,0.9166,2,O, 
18,12,Y (Y),6,N,Y,0.4037,0.9210,2,O, 
19,12,Y (Y),6,N,Y,0.4000,0.9473,2,O, 
20,12,Y (Y),6,N,Y,0.3111,1.0000,2,O, 
21,12,Y (Y),6,N,Y,0.3037,1.0000,2,O, 
22,12,Y (Y),6,N,Y,0.2777,0.9736,2,O, 
23,12,Y (Y),6,N,Y,0.2518,0.7894,2,O, 
24,12,Y (Y),6,N,Y,0.2148,0.8421,2,O, 
25,12,Y (Y),6,N,N,0.8296,1.0000,4,O, 
26,12,Y (Y),6,N,N,0.7703,0.9473,4,O, 
27,12,Y (Y),6,N,N,0.7380,0.9444,3,O, 
28,12,Y (Y),6,N,N,0.7185,0.9473,4,O, 
29,12,Y (Y),6,N,N,0.5555,0.9473,3,O, 
30,12,Y (Y),6,N,N,0.5444,0.8947,3,O, 
31,12,Y (Y),6,N,N,0.4962,0.9736,3,O, 
32,12,Y (Y),6,N,N,0.4555,1.0000,2,O, 
33,12,Y (Y),6,N,N,0.4555,1.0000,2,O, 
34,12,Y (Y),6,N,N,0.4481,0.9210,2,O, 
35,12,Y (Y),6,N,N,0.4481,0.8684,2,O, 
36,12,Y (Y),6,N,N,0.4407,0.9736,2,O, 
37,12,Y (Y),6,N,N,0.4407,0.6578,3,O, 
38,12,Y (Y),6,N,N,0.4333,0.9736,2,O, 
39,12,Y (Y),6,N,N,0.4259,0.9210,2,O, 
40,12,Y (Y),6,N,N,0.3814,0.8157,2,O, 
41,12,Y (Y),6,N,N,0.3740,0.7894,2,O, 
42,12,Y (Y),6,N,N,0.1666,0.6578,2,O, 
43,12,Y (Y),5,N,N,0.6407,0.9736,3,O, 
44,12,Y (Y),5,N,N,0.3592,0.8684,2,O, 
45,12,Y (Y),4,N,Y,0.2703,0.9736,2,O, 
46,12,Y (Y),4,N,Y,0.2185,0.8947,2,O, 
47,12,Y (Y),4,N,N,0.4111,0.8684,2,O, 
48,12,N (N),6,Y,Y,1.0000,0.6315,4,O, 
49,12,N (N),6,Y,Y,0.9682,0.8888,4,O, 
50,12,N (N),6,Y,Y,0.9365,1.0000,4,O, 
51,12,N (N),6,Y,Y,0.8968,0.8333,4,O, 
52,12,N (N),6,Y,Y,0.8814,0.7894,4,O, 
53,12,N (N),6,Y,N,1.0000,1.0000,4,O, 
