순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.5185,0.8684,3,O, 
1,36,N (N),6,N,Y,0.5185,0.8684,3,O, 
2,36,N (N),6,N,Y,0.3849,0.8333,2,O, 
3,36,N (N),6,N,Y,0.3444,0.7894,2,O, 
4,36,N (N),6,N,Y,0.3259,0.7105,2,O, 
5,31,N (N),5,Y,Y,0.9555,0.8947,4,O, 
6,30,N (N),6,Y,Y,0.9592,0.8421,4,O, 
7,30,N (N),5,Y,Y,1.0000,1.0000,4,O, 
8,30,N (N),4,N,Y,0.8740,0.7894,4,O, 
9,29,N (N),6,N,Y,0.4087,0.8611,2,O, 
10,29,N (N),6,N,Y,0.3892,1.0000,2,O, 
11,28,N (N),6,Y,Y,0.8650,0.6666,4,O, 
12,27,N (N),6,N,Y,0.4259,0.8157,2,O, 
13,26,N (N),6,N,Y,0.5851,0.8157,3,O, 
14,25,N (N),6,N,Y,0.8421,0.9166,2,O, 
15,25,N (N),6,N,Y,0.8174,0.8888,4,O, 
16,25,N (N),6,N,Y,0.4111,0.8157,2,O, 
17,25,N (N),6,N,Y,0.4087,0.8611,2,O, 
18,25,N (N),6,N,Y,0.3492,0.8611,2,O, 
19,25,N (N),6,N,Y,0.3192,0.6842,2,O, 
20,24,N (N),6,N,Y,0.9563,0.6666,4,O, 
21,24,N (N),6,N,Y,0.8928,1.0000,4,O, 
22,24,N (N),6,N,Y,0.4555,1.0000,2,O, 
23,23,N (N),6,Y,Y,0.9142,0.9473,4,O, 
24,23,N (N),6,N,Y,0.6740,0.9473,3,O, 
25,23,N (N),6,N,Y,0.4037,0.9736,2,O, 
26,22,N (N),6,N,Y,0.4206,1.0000,2,O, 
27,21,N (N),6,N,Y,0.8650,0.6666,4,O, 
28,21,N (N),6,N,Y,0.4325,1.0000,2,O, 
29,20,N (N),6,Y,Y,0.9682,1.0000,4,O, 
30,20,N (N),5,Y,Y,0.8962,0.5789,4,O, 
31,20,N (N),5,N,Y,0.6507,1.0000,3,O, 
32,19,N (N),6,Y,Y,0.8500,1.0000,4,O, 
33,19,N (N),6,N,Y,0.5777,0.9736,3,O, 
34,18,N (N),6,N,Y,0.8412,1.0000,4,O, 
35,18,N (N),6,N,Y,0.4666,1.0000,2,O, 
36,17,N (N),6,Y,Y,0.8888,1.0000,4,O, 
37,17,N (N),6,N,Y,0.8370,1.0000,4,O, 
38,17,N (N),6,N,Y,0.7361,1.0000,3,O, 
39,17,N (N),6,N,Y,0.4464,0.9736,2,O, 
40,17,N (N),6,N,Y,0.4035,0.9736,2,O, 
41,17,N (N),6,N,Y,0.3821,0.9736,2,O, 
42,17,N (N),5,N,Y,0.4333,0.9736,2,O, 
43,16,N (N),6,N,Y,0.3629,0.6315,2,O, 
44,16,N (N),5,N,Y,0.5000,0.8881,3,O, 
45,15,N (N),6,Y,Y,0.9603,0.5000,4,O, 
46,15,N (N),6,Y,Y,0.9142,0.9473,4,O, 
47,15,N (N),6,N,Y,0.6592,1.0000,3,O, 
48,15,N (N),6,N,Y,0.4814,0.8157,3,O, 
49,15,N (N),6,N,Y,0.4801,1.0000,2,O, 
50,15,N (N),6,N,Y,0.4555,1.0000,2,O, 
51,15,N (N),6,N,Y,0.4107,0.9736,2,O, 
52,15,N (N),6,N,Y,0.3928,0.9473,2,O, 
53,15,N (N),4,N,Y,0.5962,0.6842,3,O, 
54,14,N (N),6,N,Y,0.8821,1.0000,4,O, 
55,14,N (N),6,N,Y,0.5000,0.8881,3,O, 
56,14,N (N),6,N,Y,0.3492,1.0000,2,O, 
57,13,N (N),6,N,Y,0.6984,0.8611,3,O, 
58,13,N (N),6,N,Y,0.6370,0.8157,4,O, 
59,12,N (N),6,Y,Y,0.8714,0.9473,4,O, 
60,12,N (N),6,Y,Y,0.8571,1.0000,4,O, 
61,12,N (N),6,N,Y,0.7896,1.0000,4,O, 
62,12,N (N),6,N,Y,0.6666,0.9473,3,O, 
63,12,N (N),6,N,Y,0.4325,1.0000,2,O, 
64,12,N (N),6,N,Y,0.3142,0.4736,4,O, 
65,10,N (N),6,Y,Y,0.8809,0.5000,4,O, 
