순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,N (N),6,N,Y,0.2261,0.7777,2,O, 
1,15,N (N),6,N,Y,0.2261,0.7777,2,O, 
2,7,N (N),6,N,Y,0.0357,0.2631,2,O, 
3,6,N (N),5,N,Y,0.3888,0.9444,2,O, 
4,4,N (N),6,N,Y,0.8962,1.0000,4,O, 
5,3,N (N),6,Y,Y,0.9444,0.8333,4,O, 
6,2,N (N),6,Y,Y,1.0000,0.7777,4,O, 
7,1,N (N),6,Y,Y,1.0000,0.3157,4,O, 
8,1,N (N),6,Y,Y,0.9761,0.8888,4,O, 
9,1,N (N),6,Y,Y,0.9761,0.5000,4,O, 
10,1,N (N),6,Y,Y,0.9682,0.6666,4,O, 
11,1,N (N),6,Y,Y,0.9206,0.8333,4,O, 
12,1,N (N),6,Y,Y,0.8785,0.6842,4,O, 
13,1,N (N),6,N,Y,0.5629,0.7894,3,O, 
14,1,N (N),5,Y,N,1.0000,0.5555,4,O, 
