순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.9682,0.5555,4,O, 
1,36,N (N),6,N,Y,0.9682,0.5555,4,O, 
2,36,N (N),6,N,Y,0.4518,0.8157,3,O, 
3,36,N (N),5,N,Y,0.9523,0.5714,4,O, 
4,36,N (N),2,N,Y,1.0000,0.4736,4,O, 
5,35,N (N),2,N,Y,0.7857,1.0000,4,O, 
6,31,N (N),6,N,N,0.8333,0.8333,4,O, 
7,16,N (N),6,N,Y,0.7851,1.0000,4,O, 
8,14,N (N),6,N,Y,0.5277,1.0000,3,O, 
9,13,N (N),6,N,Y,0.7460,0.8333,4,O, 
10,13,N (N),6,N,Y,0.2592,0.8421,2,O, 
11,12,N (N),6,Y,Y,0.9761,1.0000,4,O, 
12,5,N (N),6,N,Y,0.5000,0.9210,3,O, 
13,4,N (N),6,N,Y,0.7111,0.7894,4,X, 
14,3,N (N),6,Y,Y,1.0000,0.8947,4,X, 
15,3,N (N),6,N,Y,0.2814,0.9473,2,O, 
16,1,N (N),6,Y,Y,0.9357,0.9473,4,X, 
17,1,N (N),6,Y,Y,0.9285,1.0000,4,X, 
18,1,N (N),6,Y,Y,0.8928,0.8421,4,X, 
19,1,N (N),6,N,Y,1.0000,1.0000,4,X, 
20,1,N (N),6,N,Y,0.9126,0.8333,4,X, 
21,1,N (N),6,N,Y,0.8293,1.0000,4,X, 
22,1,N (N),6,N,Y,0.7831,0.9473,5,X, 
23,1,N (N),6,N,Y,0.7301,0.9166,3,O, 
24,1,N (N),6,N,Y,0.6666,0.9736,3,O, 
25,1,N (N),6,N,Y,0.6626,0.8157,4,X, 
26,1,N (N),6,N,Y,0.6148,0.7894,3,O, 
27,1,N (N),6,N,Y,0.5642,0.9736,3,O, 
28,1,N (N),6,N,Y,0.5436,0.8611,3,O, 
29,1,N (N),6,N,Y,0.5071,0.8157,3,X, 
30,1,N (N),6,N,Y,0.1825,0.8611,2,O, 
