순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,1.0000,1.0000,4,O, 
1,36,N (N),6,Y,Y,1.0000,1.0000,4,O, 
2,36,N (N),6,Y,Y,1.0000,1.0000,4,O, 
3,36,N (N),6,Y,Y,1.0000,0.9473,4,O, 
4,36,N (N),6,Y,Y,1.0000,0.8888,4,O, 
5,36,N (N),6,Y,Y,1.0000,0.8611,4,O, 
6,36,N (N),6,Y,Y,1.0000,0.8333,4,O, 
7,36,N (N),6,Y,Y,1.0000,0.7368,4,O, 
8,36,N (N),6,Y,Y,1.0000,0.7222,4,O, 
9,36,N (N),6,Y,Y,1.0000,0.6666,4,O, 
10,36,N (N),6,Y,Y,1.0000,0.6666,4,O, 
11,36,N (N),6,Y,Y,1.0000,0.5000,4,O, 
12,36,N (N),6,Y,Y,0.9857,0.5789,4,O, 
13,36,N (N),6,Y,Y,0.9777,1.0000,4,O, 
14,36,N (N),6,Y,Y,0.9777,0.7894,4,O, 
15,36,N (N),6,Y,Y,0.9682,1.0000,4,O, 
16,36,N (N),6,Y,Y,0.9642,0.9473,4,O, 
17,36,N (N),6,Y,Y,0.9603,1.0000,4,O, 
18,36,N (N),6,Y,Y,0.9523,0.6666,4,O, 
19,36,N (N),6,Y,Y,0.9407,0.8947,4,O, 
20,36,N (N),6,Y,Y,0.9365,0.6666,4,O, 
21,36,N (N),6,Y,Y,0.9357,1.0000,4,O, 
22,36,N (N),6,Y,Y,0.9357,0.9473,4,O, 
23,36,N (N),6,Y,Y,0.9333,0.4736,4,O, 
24,36,N (N),6,Y,Y,0.9285,0.7222,4,O, 
25,36,N (N),6,Y,Y,0.9259,0.9473,4,O, 
26,36,N (N),6,Y,Y,0.9214,0.9473,4,O, 
27,36,N (N),6,Y,Y,0.9185,0.8421,4,O, 
28,36,N (N),6,Y,Y,0.9166,1.0000,4,O, 
29,36,N (N),6,Y,Y,0.9142,0.7894,4,O, 
30,36,N (N),6,Y,Y,0.9047,0.8333,4,O, 
31,36,N (N),6,Y,Y,0.8968,0.8888,4,O, 
32,36,N (N),6,Y,Y,0.8928,0.9473,4,O, 
33,36,N (N),6,Y,Y,0.8888,1.0000,4,O, 
34,36,N (N),6,Y,Y,0.8888,0.8888,4,O, 
35,36,N (N),6,Y,Y,0.8740,0.6315,4,O, 
36,36,N (N),6,Y,Y,0.8730,0.8333,4,O, 
37,36,N (N),6,Y,Y,0.8714,1.0000,4,X, 
38,36,N (N),6,Y,Y,0.8444,0.8947,4,X, 
39,36,N (N),6,Y,Y,0.8407,0.9736,4,X, 
40,36,N (N),6,Y,Y,0.8285,0.9473,4,X, 
41,36,N (N),6,Y,N,1.0000,0.8333,4,X, 
42,36,N (N),6,N,Y,1.0000,1.0000,4,X, 
43,36,N (N),6,N,Y,1.0000,1.0000,4,X, 
44,36,N (N),6,N,Y,1.0000,0.8333,4,X, 
45,36,N (N),6,N,Y,1.0000,0.5789,4,X, 
46,36,N (N),6,N,Y,1.0000,0.4444,4,X, 
47,36,N (N),6,N,Y,0.9920,0.5000,4,X, 
48,36,N (N),6,N,Y,0.9777,1.0000,4,X, 
49,36,N (N),6,N,Y,0.9365,1.0000,4,X, 
50,36,N (N),6,N,Y,0.9357,0.9473,4,X, 
51,36,N (N),6,N,Y,0.9259,1.0000,4,X, 
52,36,N (N),6,N,Y,0.9126,1.0000,4,X, 
53,36,N (N),6,N,Y,0.9047,1.0000,4,X, 
54,36,N (N),6,N,Y,0.9027,1.0000,4,X, 
55,36,N (N),6,N,Y,0.9007,0.9722,4,X, 
56,36,N (N),6,N,Y,0.8857,0.7368,4,X, 
57,36,N (N),6,N,Y,0.8690,0.7222,4,X, 
58,36,N (N),6,N,Y,0.8650,1.0000,4,X, 
59,36,N (N),6,N,Y,0.8592,1.0000,4,X, 
60,36,N (N),6,N,Y,0.8591,1.0000,4,X, 
61,36,N (N),6,N,Y,0.8500,1.0000,4,X, 
62,36,N (N),6,N,Y,0.8492,0.7142,4,X, 
63,36,N (N),6,N,Y,0.8428,0.9473,4,X, 
64,36,N (N),6,N,Y,0.8412,1.0000,4,X, 
65,36,N (N),6,N,Y,0.8333,0.8333,4,X, 
66,36,N (N),6,N,Y,0.8148,0.7894,4,X, 
67,36,N (N),6,N,Y,0.8134,0.8333,4,X, 
68,36,N (N),6,N,Y,0.8071,0.9473,4,X, 
