순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,20,N (N),2,Y,Y,1.0000,1.0000,4,O, 
1,20,N (N),2,Y,Y,1.0000,1.0000,4,O, 
2,18,N (N),3,N,Y,0.5000,0.9375,3,O, 
3,15,N (N),6,N,Y,0.4007,1.0000,2,O, 
4,10,N (N),5,N,Y,0.6657,0.8157,3,O, 
5,8,N (N),4,Y,Y,0.8925,1.0000,4,O, 
6,6,N (N),3,Y,Y,0.9365,0.6666,4,O, 
7,5,N (N),6,Y,Y,0.9206,0.8333,4,O, 
8,5,N (N),5,N,Y,0.5317,0.8333,3,O, 
9,5,N (N),4,Y,Y,0.9500,0.7894,4,O, 
10,3,N (N),4,Y,Y,0.8968,0.7222,4,O, 
11,2,N (N),6,Y,Y,1.0000,1.0000,4,O, 
12,1,N (N),6,Y,Y,0.9259,1.0000,4,O, 
13,1,N (N),6,Y,Y,0.8730,1.0000,4,O, 
14,1,N (N),6,Y,Y,0.8592,1.0000,4,O, 
15,1,N (N),6,Y,Y,0.8518,1.0000,4,O, 
16,1,N (N),6,N,Y,0.9047,1.0000,3,O, 
17,1,N (N),6,N,Y,0.7936,1.0000,3,O, 
18,1,N (N),6,N,Y,0.6428,0.8333,3,O, 
19,1,N (N),6,N,Y,0.5912,0.8611,3,O, 
20,1,N (N),6,N,Y,0.5357,0.8157,3,O, 
21,1,N (N),6,N,Y,0.5296,0.3157,3,O, 
22,1,N (N),6,N,Y,0.4642,0.8611,2,O, 
23,1,N (N),6,N,Y,0.4407,0.9736,3,O, 
24,1,N (N),6,N,Y,0.4404,1.0000,2,O, 
25,1,N (N),6,N,Y,0.3928,0.6944,2,O, 
26,1,N (N),6,N,Y,0.3925,0.6578,2,O, 
27,1,N (N),6,N,Y,0.3821,0.7105,2,O, 
28,1,N (N),6,N,Y,0.3740,0.9210,2,O, 
29,1,N (N),6,N,Y,0.3642,0.5526,2,O, 
30,1,N (N),6,N,Y,0.3629,1.0000,2,O, 
31,1,N (N),6,N,Y,0.3607,0.7105,2,O, 
32,1,N (N),6,N,Y,0.3607,0.6578,2,O, 
33,1,N (N),6,N,Y,0.3253,1.0000,2,O, 
34,1,N (N),6,N,Y,0.3037,1.0000,2,O, 
35,1,N (N),6,N,Y,0.2500,0.8750,2,O, 
36,1,N (N),5,Y,Y,0.9357,0.8421,4,O, 
37,1,N (N),5,Y,Y,0.9285,0.8947,4,O, 
38,1,N (N),5,N,Y,0.7301,0.8333,3,O, 
39,1,N (N),5,N,Y,0.3095,1.0000,2,O, 
40,1,N (N),5,N,Y,0.2370,0.9473,2,O, 
41,1,N (N),4,N,Y,0.4801,0.8611,2,O, 
42,1,N (N),2,Y,Y,1.0000,0.5000,4,O, 
43,1,N (N),2,Y,Y,1.0000,0.5000,4,O, 
0,4,N (N),5,N,Y,0.3962,0.9210,2,O,* 
0,4,N (N),0,N,Y,0.6357,0.8333,3,O,* 
