순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.5119,1.0000,2,O, 
1,36,N (N),6,N,Y,0.5119,1.0000,2,O, 
2,36,N (N),6,N,Y,0.2888,0.9473,2,O, 
3,36,N (N),6,N,N,0.8666,0.8947,4,O, 
4,35,N (N),6,N,Y,0.7851,0.9736,4,O, 
5,34,N (N),5,Y,N,0.8928,0.5000,4,O, 
6,30,N (N),3,Y,N,0.9920,0.8333,4,O, 
7,26,N (N),6,N,N,0.2925,0.9210,2,O, 
8,25,N (N),6,N,N,0.9214,1.0000,4,O, 
9,16,N (N),6,N,Y,0.2035,0.6315,2,O, 
10,16,N (N),6,N,N,0.3214,1.0000,2,O, 
11,14,N (N),6,N,Y,0.8650,1.0000,4,O, 
12,12,N (N),6,N,Y,0.2698,0.8611,2,O, 
13,10,N (N),6,N,Y,0.7936,0.7777,4,O, 
14,7,N (N),6,N,Y,0.5396,0.9722,3,O, 
15,7,N (N),6,N,N,0.3730,1.0000,2,O, 
16,6,N (N),6,N,N,0.6904,0.8611,3,O, 
17,3,N (N),6,N,Y,0.7555,0.9736,4,O, 
18,2,N (N),6,N,Y,0.7928,1.0000,4,O, 
19,2,N (N),6,N,Y,0.1481,0.0263,2,O, 
