순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),4,N,N,0.5657,0.6666,2,O, 
1,36,N (N),4,N,N,0.5657,0.6666,2,O, 
2,35,N (N),2,Y,Y,1.0000,0.2631,4,O, 
3,33,N (N),6,N,Y,0.2259,0.8684,2,O, 
4,30,N (N),6,N,Y,0.5197,0.8958,2,O, 
5,29,N (N),6,N,Y,0.2539,0.8333,2,O, 
6,26,N (N),6,N,N,0.8518,0.7894,4,O, 
7,25,N (N),6,N,N,0.7777,1.0000,4,O, 
8,25,N (N),6,N,N,0.3714,0.6315,2,O, 
9,23,N (N),6,N,N,0.3611,0.9444,2,O, 
10,22,N (N),6,N,Y,0.5214,1.0000,3,O, 
11,22,N (N),6,N,N,0.4392,0.9473,3,O, 
12,21,N (N),6,N,Y,0.2642,1.0000,2,O, 
13,20,N (N),6,N,Y,0.1964,0.7368,2,O, 
14,16,N (N),6,N,Y,0.3185,0.8947,2,O, 
15,15,N (N),6,Y,N,0.9365,0.9444,4,O, 
16,15,N (N),6,N,N,0.5964,0.7894,3,O, 
17,11,N (N),6,Y,Y,0.8492,0.7222,4,O, 
18,10,N (N),6,N,N,0.8493,0.7894,5,O, 
19,10,N (N),6,N,N,0.6518,0.9473,3,X, 
20,8,N (N),6,N,Y,0.2936,0.7777,2,X, 
21,5,N (N),5,N,Y,0.1259,0.6842,2,X, 
22,4,N (N),6,N,N,0.4214,0.8157,3,X, 
